,match,date,time
0,SD Huesca vs Elche CF,2021-04-09,19:00:00
1,Getafe CF vs Cádiz CF,2021-04-10,12:00:00
2,Athletic Club vs Deportivo Alavés,2021-04-10,14:15:00
3,SD Eibar vs Levante UD,2021-04-10,16:30:00
4,Real Madrid CF vs FC Barcelona,2021-04-10,19:00:00
5,Villarreal CF vs CA Osasuna,2021-04-11,12:00:00
6,Valencia CF vs Real Sociedad de Fútbol,2021-04-11,14:15:00
7,Real Valladolid CF vs Granada CF,2021-04-11,16:30:00
8,Real Betis Balompié vs Club Atlético de Madrid,2021-04-11,19:00:00
9,RC Celta de Vigo vs Sevilla FC,2021-04-12,19:00:00
