,name,position,nationality,age
0,Ansu Fati,Attacker,Spain,18
1,Antoine Griezmann,Attacker,France,30
2,Konrad de la Fuente,Attacker,United States,19
3,Lionel Messi,Attacker,Argentina,33
4,Martin Braithwaite,Attacker,Denmark,29
5,Ousmane Dembélé,Attacker,France,23
6,Pedri,Attacker,Spain,18
7,Trincão,Attacker,Portugal,21
8,Clément Lenglet,Defender,France,25
9,Jordi Alba,Defender,Spain,32
10,Júnior Firpo,Defender,Spain,24
11,Piqué,Defender,Spain,34
12,Ronald Araújo,Defender,Uruguay,22
13,Samuel Umtiti,Defender,France,27
14,Sergiño Dest,Defender,United States,20
15,Óscar Mingueza,Defender,Spain,21
16,Arnau Tenas,Goalkeeper,Spain,19
17,Iñaki,Goalkeeper,Spain,22
18,Marc-André ter Stegen,Goalkeeper,Germany,28
19,Neto,Goalkeeper,Brazil,31
20,Busquets,Midfielder,Spain,32
21,Frenkie de Jong,Midfielder,Netherlands,23
22,Ilaix Moriba,Midfielder,Spain,18
23,Matheus Fernandes,Midfielder,Brazil,22
24,Miralem Pjanić,Midfielder,Bosnia and Herzegovina,31
25,Oriol Busquets,Midfielder,Spain,22
26,Philippe Coutinho,Midfielder,Brazil,28
27,Riqui Puig,Midfielder,Spain,21
28,Sergi Roberto,Midfielder,Spain,29
29,Álex Collado,Midfielder,Spain,21
