arrest_stats_id,team,team_name,team_preffered_name,team_city,team_conference,team_division,name,position,position_name,position_type,category,crime_category,description,outcome,season,arrestseasonstate,month,day,day_of_week
803,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Dorial Green-Beckham,WR,Wide Receiver,O,Outstanding warrant,License / Traffic,"Pulled over for speeding in Missouri, where officer found an outstanding warrant for previous unpaid speeding ticket.",Paid $92 and received warning.,2015,InSeason,9,30,Wednesday
3,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Justin Hunter,WR,Wide Receiver,O,Assault,Assault / Battery,Charged with felonious assault stemming from an incident at a Virginia Beach bar July 3.,Acquitted by judge.,2015,OffSeason,7,20,Monday
33,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Shonn Greene,RB,Running Back,O,Handicap parking,License / Traffic,"Accused of leaving the scene, reckless driving and driving with a suspended license after being caught parking in handicap spot.","Pleaded guilty to parking charge and failing to exercise due care, charged $655.",2014,InSeason,10,24,Friday
68,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Adewale Ojomo,DE,Defensive End,D,Solicitation,Other,"Accused of soliciting a prostitute in Miami for $100, busted by undercover cop.",Diversion program. Team cut him the next month.,2014,OffSeason,3,21,Friday
132,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Brandon Barden,TE,Tight End,O,DUI,DUI,Charged with drunken driving after single-car accident in Georgia. Car left road and flipped.,Charge dropped.,2013,OffSeason,2,23,Saturday
155,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Kenny Britt,WR,Wide Receiver,O,DUI,DUI,Charged with drunken driving after trying to pass through security gate at Fort Campbell Army post in Kentucky.,"Found not guilty of DUI, guilty of refusing Breathalyzer test.",2012,OffSeason,7,20,Friday
209,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Kenny Britt,WR,Wide Receiver,O,Outstanding warrant,License / Traffic,Turned himself in on two outstanding warrants that say he provided inaccurate information on driver's license applications.,Resolution undetermined.,2011,OffSeason,6,29,Wednesday
215,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Kenny Britt,WR,Wide Receiver,O,Drugs,Drugs,Accused of resisting arrest in New Jersey after police suspected him of trying to hide a marijuana cigar.,Resolution undetermined.,2011,OffSeason,6,8,Wednesday
221,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Kenny Britt,WR,Wide Receiver,O,Obstruction,Other,"Accused of eluding police with car chase in his hometown of Bayonne, N.J., speeding and obstruction.","Pleaded guilty to careless driving, $478 fine.",2011,OffSeason,4,12,Tuesday
233,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Kenny Britt,WR,Wide Receiver,O,Theft,Theft / Burglary,Accused of theft by deception after allegedly not paying two bail bonds companies in New Jersey on behalf of his friend.,Resolution undetermined.,2011,OffSeason,2,9,Wednesday
257,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Kenny Britt,WR,Wide Receiver,O,License,License / Traffic,"Pulled over in Nashville for windows in Camaro tinted too dark, then cited for misdemeanor driving without a valid license.",Resolution undetermined.,2010,OffSeason,8,4,Wednesday
289,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Kenny Britt,WR,Wide Receiver,O,License,License / Traffic,"Pulled over in Glen Ridge., N.J., and had three outstanding traffic warrants.","Paid $865, released.",2010,OffSeason,1,15,Friday
260,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Chris Simms,QB,Quarterback,O,"DUI,drugs",DUI,Charged in New York City with driving while on drugs (marijuana) with his pregnant wife in the car.,Acquitted in May 2011,2010,OffSeason,7,1,Thursday
263,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Derrick Morgan,DE,Defensive End,D,License,License / Traffic,"Pulled over in northwest Georgia for speeding, charged with driving with a suspended license.",Resolution undetermined.,2010,OffSeason,6,16,Wednesday
264,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Vince Young,QB,Quarterback,O,Assault,Assault / Battery,Accused of getting into a fight at a Dallas strip club and left before police arrived.,Resolution undetermined.,2010,OffSeason,6,13,Sunday
308,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Chris Davis,WR,Wide Receiver,O,DUI,DUI,"Pulled over for speeding in Nashville after 2 a.m., suspected of drunken driving. Consented to a breathalyzer test that measured 0.11 in blood alcohol content.",Resolution undetermined. Cut by team a few days after arrest.,2009,OffSeason,8,21,Friday
365,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Jevon Kearse,DE,Defensive End,D,DUI,DUI,"Accused of drunk driving near Vanderbilt campus around 5 a.m., refused breath test.","Pleaded guilty to reduced charge of reckless driving, six months of probation, restricted license.",2008,OffSeason,6,22,Sunday
370,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Brandon Jones,WR,Wide Receiver,O,Gun,Gun,Accused of carrying .32-caliber gun into Nashville airport.,"Diversion program of six months, $500 fine.",2008,OffSeason,6,13,Friday
391,TEN,Titans,Tennessee Titans,Nashville,AFC,South,LenDale White,RB,Running Back,O,Disorderly conduct,Alcohol / Disorderly,"Accused of property destruction, disobedience to a lawful order and resistance stemming from party in hometown of Denver.",Resolution undetermined.,2008,OffSeason,3,15,Saturday
830,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Adam Jones,CB,Cornerback,D,Assault,Assault / Battery,"Accused of poking hotel security employee in the eye in Cincinnati, obstructing police.","Pleaded guilty to misdemeanor charge, sentenced to time served of two days in jail.",2017,OffSeason,1,2,Monday
92,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Adam Jones,CB,Cornerback,D,Disorderly conduct,Alcohol / Disorderly,He was the passenger in a car pulled over for speeding and was cited for disorderly conduct. The driver was charged with drunk driving.,Paid $130 for fine and court costs.,2013,InSeason,9,23,Monday
107,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Adam Jones,CB,Cornerback,D,Assault,Assault / Battery,Accused of punching a woman outside a Cincinnati bar on June 5. It is his eighth run-in with the law since 2005.,Resolution undetermined.,2013,OffSeason,6,10,Monday
207,CIN,Bengals,Cincinnati Bengals,Cincinnati,AFC,North,Adam Jones,CB,Cornerback,D,Alcohol,Alcohol / Disorderly,Accused of disorderly conduct while intoxicated and resisting arrest at bar in Cincinnati.,Resolution undetermined.,2011,OffSeason,7,10,Sunday
440,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Adam Jones,CB,Cornerback,D,"Coercion, gun",Other,"Surrendered in Las Vegas, charged with felony coercion in connection to strip club shooting that paralyzed a man.","Pleaded no contest to conspiracy to commit disorderly conduct, agreed to testify against gunman. SENTENCE?",2007,OffSeason,6,21,Thursday
487,TEN,Titans,Tennessee Titans,Nashville,AFC,South,Adam Jones,CB,Cornerback,D,Assault,Assault / Battery,Accused of spitting in a woman's face at Nashville nightclub.,Charge dropped because of inconsistent testimony.,2006,InSeason,10,26,Thursday
