	Player	Opponent	Total GW	Total GL	Win Rate
0	 Azorius Control	 Azorius Control	28	32	0.4666666666666667
1	 Azorius Control	 Azorius Spirits	25	23	0.5208333333333334
2	 Azorius Control	 Bant Spirits	8	7	0.5333333333333333
3	 Azorius Control	 Big Red	11	8	0.5789473684210527
4	 Azorius Control	 Boros Feather	1	4	0.2
5	 Azorius Control	 Dimir Inverter	50	36	0.5813953488372093
6	 Azorius Control	 Golgari Stompy	5	6	0.45454545454545453
7	 Azorius Control	 Izzet Emerge	6	0	1.0
8	 Azorius Control	 Izzet Ensoul	15	14	0.5172413793103449
9	 Azorius Control	 Izzet Phoenix	6	7	0.46153846153846156
10	 Azorius Control	 Jeskai Fires	4	1	0.8
11	 Azorius Control	 Lotus Breach	8	7	0.5333333333333333
12	 Azorius Control	 Lotus Storm	3	2	0.6
13	 Azorius Control	 Mono-Black Aggro	50	66	0.43103448275862066
14	 Azorius Control	 Mono-Black Vampires	7	3	0.7
15	 Azorius Control	 Mono-Blue Devotion	4	1	0.8
16	 Azorius Control	 Mono-Green Ramp	12	8	0.6
17	 Azorius Control	 Mono-Red Aggro	8	21	0.27586206896551724
18	 Azorius Control	 Mono-White Devotion	18	19	0.4864864864864865
19	 Azorius Control	 Mono-White Lifegain	2	4	0.3333333333333333
20	 Azorius Control	 Niv to Light	40	34	0.5405405405405406
21	 Azorius Control	 Orzhov Vampires	3	3	0.5
22	 Azorius Control	 Rakdos Midrange	4	3	0.5714285714285714
23	 Azorius Control	 Simic Delirium	5	6	0.45454545454545453
24	 Azorius Control	 Simic Ramp	9	15	0.375
25	 Azorius Control	 Soulflayer	9	3	0.75
26	 Azorius Control	 Sultai Delirium	11	7	0.6111111111111112
27	 Azorius Control	 Temur Delirium	3	3	0.5
28	 Azorius Spirits	 Azorius Control	25	23	0.5208333333333334
29	 Azorius Spirits	 Azorius Spirits	8	8	0.5
30	 Azorius Spirits	 Bant Spirits	7	8	0.4666666666666667
31	 Azorius Spirits	 Big Red	7	7	0.5
32	 Azorius Spirits	 Dimir Inverter	25	30	0.45454545454545453
33	 Azorius Spirits	 Izzet Ensoul	15	9	0.625
34	 Azorius Spirits	 Lotus Breach	11	7	0.6111111111111112
35	 Azorius Spirits	 Mono-Black Aggro	25	32	0.43859649122807015
36	 Azorius Spirits	 Mono-Black Vampires	6	5	0.5454545454545454
37	 Azorius Spirits	 Mono-Green Ramp	11	11	0.5
38	 Azorius Spirits	 Mono-Red Aggro	7	7	0.5
39	 Azorius Spirits	 Mono-White Devotion	16	18	0.47058823529411764
40	 Azorius Spirits	 Niv to Light	13	12	0.52
41	 Azorius Spirits	 Simic Delirium	7	4	0.6363636363636364
42	 Azorius Spirits	 Simic Ramp	8	12	0.4
43	 Azorius Spirits	 Soulflayer	1	4	0.2
44	 Azorius Spirits	 Sultai Delirium	3	4	0.42857142857142855
45	 Bant Midrange	 Mono-Black Aggro	3	2	0.6
46	 Bant Spirits	 Azorius Control	8	7	0.5333333333333333
47	 Bant Spirits	 Azorius Spirits	7	8	0.4666666666666667
48	 Bant Spirits	 Bant Spirits	12	2	0.8571428571428571
49	 Bant Spirits	 Dimir Inverter	13	7	0.65
50	 Bant Spirits	 Heliod Company	4	1	0.8
51	 Bant Spirits	 Izzet Ensoul	5	9	0.35714285714285715
52	 Bant Spirits	 Mono-Black Aggro	11	12	0.4782608695652174
53	 Bant Spirits	 Mono-Red Aggro	3	10	0.23076923076923078
54	 Bant Spirits	 Niv to Light	14	13	0.5185185185185185
55	 Bant Spirits	 Simic Delirium	5	3	0.625
56	 Big Red	 Azorius Control	11	8	0.5789473684210527
57	 Big Red	 Azorius Spirits	7	7	0.5
58	 Big Red	 Big Red	6	4	0.6
59	 Big Red	 Dimir Inverter	16	18	0.47058823529411764
60	 Big Red	 Heliod Company	3	5	0.375
61	 Big Red	 Kethis Combo	2	6	0.25
62	 Big Red	 Mono-Black Aggro	16	15	0.5161290322580645
63	 Big Red	 Mono-Green Stompy	3	4	0.42857142857142855
64	 Big Red	 Mono-Red Aggro	3	6	0.3333333333333333
65	 Big Red	 Mono-White Devotion	6	3	0.6666666666666666
66	 Big Red	 Niv to Light	8	14	0.36363636363636365
67	 Big Red	 Simic Ramp	6	8	0.42857142857142855
68	 Boros Aggro	 Mono-Black Aggro	6	3	0.6666666666666666
69	 Boros Feather	 Azorius Control	1	4	0.2
70	 Dimir Control	 Dimir Inverter	12	12	0.5
71	 Dimir Control	 Izzet Ensoul	5	4	0.5555555555555556
72	 Dimir Control	 Mono-Black Aggro	6	8	0.42857142857142855
73	 Dimir Control	 Niv to Light	0	3	0.0
74	 Dimir Inverter	 Azorius Control	50	36	0.5813953488372093
75	 Dimir Inverter	 Azorius Spirits	25	30	0.45454545454545453
76	 Dimir Inverter	 Bant Spirits	13	7	0.65
77	 Dimir Inverter	 Big Red	16	18	0.47058823529411764
78	 Dimir Inverter	 Dimir Control	12	12	0.5
79	 Dimir Inverter	 Dimir Inverter	72	74	0.4931506849315068
80	 Dimir Inverter	 Dredgeless Dredge	4	0	1.0
81	 Dimir Inverter	 Golgari Stompy	10	1	0.9090909090909091
82	 Dimir Inverter	 Hardened Scales	3	6	0.3333333333333333
83	 Dimir Inverter	 Heliod Company	6	4	0.6
84	 Dimir Inverter	 Izzet Ensoul	32	33	0.49230769230769234
85	 Dimir Inverter	 Izzet Phoenix	8	2	0.8
86	 Dimir Inverter	 Jeskai Fires	5	3	0.625
87	 Dimir Inverter	 Kethis Combo	6	6	0.5
88	 Dimir Inverter	 Lotus Breach	19	20	0.48717948717948717
89	 Dimir Inverter	 Mono-Black Aggro	77	102	0.4301675977653631
90	 Dimir Inverter	 Mono-Black Vampires	6	9	0.4
91	 Dimir Inverter	 Mono-Blue Devotion	2	2	0.5
