	Name	Mana Cost	CMC	Colors	Type	Rarity	Set	Text	Power	Toughness	Loyalty	Brussels	Nagoya	Phoenix	Total
0	Abrupt Decay	{B}{G}	2.0	['Black', 'Green']	Instant	Rare	RTR	"This spell can't be countered.
Destroy target nonland permanent with converted mana cost 3 or less."	Not a Creature	Not a Creature	Not a Planeswalker	107	48	112	267
1	Ash Zealot	{R}{R}	2.0	['Red']	Creature — Human Warrior	Rare	RTR	"First strike, haste
Whenever a player casts a spell from a graveyard, Ash Zealot deals 3 damage to that player."	2	2	Not a Planeswalker	4	4	7	15
2	Azorius Charm	{W}{U}	2.0	['Blue', 'White']	Instant	Uncommon	RTR	"Choose one —
• Creatures you control gain lifelink until end of turn.
• Draw a card.
• Put target attacking or blocking creature on top of its owner's library."	Not a Creature	Not a Creature	Not a Planeswalker	135	38	53	226
3	Blood Crypt		0.0	[]	Land — Swamp Mountain	Rare	RTR	"({T}: Add {B} or {R}.)
As Blood Crypt enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."	Not a Creature	Not a Creature	Not a Planeswalker	42	12	4	58
4	Blood Crypt		0.0	[]	Land — Swamp Mountain	Rare	RNA	"({T}: Add {B} or {R}.)
As Blood Crypt enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."	Not a Creature	Not a Creature	Not a Planeswalker	42	12	4	58
5	Chronic Flooding	{1}{U}	2.0	['Blue']	Enchantment — Aura	Common	RTR	"Enchant land
Whenever enchanted land becomes tapped, its controller puts the top three cards of their library into their graveyard."	Not a Creature	Not a Creature	Not a Planeswalker	20	35	2	57
6	Cyclonic Rift	{1}{U}	2.0	['Blue']	Instant	Rare	RTR	"Return target nonland permanent you don't control to its owner's hand.
Overload {6}{U} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ""target"" with ""each."")"	Not a Creature	Not a Creature	Not a Planeswalker	4	1	0	5
7	Deathrite Shaman	{B/G}	1.0	['Black', 'Green']	Creature — Elf Shaman	Rare	RTR	"{T}: Exile target land card from a graveyard. Add one mana of any color.
{B}, {T}: Exile target instant or sorcery card from a graveyard. Each opponent loses 2 life.
{G}, {T}: Exile target creature card from a graveyard. You gain 2 life."	1	2	Not a Planeswalker	0	3	9	12
8	Detention Sphere	{1}{W}{U}	3.0	['Blue', 'White']	Enchantment	Rare	RTR	"When Detention Sphere enters the battlefield, you may exile target nonland permanent not named Detention Sphere and all other permanents with the same name as that permanent.
When Detention Sphere leaves the battlefield, return the exiled cards to the battlefield under their owner's control."	Not a Creature	Not a Creature	Not a Planeswalker	43	18	18	79
9	Dispel	{U}	1.0	['Blue']	Instant	Common	RTR	Counter target instant spell.	Not a Creature	Not a Creature	Not a Planeswalker	1	2	2	5
