url,season,number,airdate,runtime,summary,titles,ratings,total_votes
http://www.tvmaze.com/episodes/4953/game-of-thrones-1x02-the-kingsroad,1,2,2011-04-24,60,"An incident on the Kingsroad threatens Eddard and Robert's friendship. Jon and Tyrion travel to the Wall, where they discover that the reality of the Night's Watch may not match the heroic image of it.",The Kingsroad,8.8,"28,935"
http://www.tvmaze.com/episodes/4954/game-of-thrones-1x03-lord-snow,1,3,2011-05-01,60,Jon Snow attempts to find his place amongst the Night's Watch. Eddard and his daughters arrive at King's Landing.,Lord Snow,8.7,"27,356"
http://www.tvmaze.com/episodes/4955/game-of-thrones-1x04-cripples-bastards-and-broken-things,1,4,2011-05-08,60,Tyrion stops at Winterfell on his way home and gets a frosty reception from Robb Stark. Eddard's investigation into the death of his predecessor gets underway.,"Cripples, Bastards, and Broken Things",8.8,"25,959"
http://www.tvmaze.com/episodes/4956/game-of-thrones-1x05-the-wolf-and-the-lion,1,5,2011-05-15,60,Catelyn's actions on the road have repercussions for Eddard. Tyrion enjoys the dubious hospitality of the Eyrie.,The Wolf and the Lion,9.1,"27,020"
http://www.tvmaze.com/episodes/4957/game-of-thrones-1x06-a-golden-crown,1,6,2011-05-22,60,Viserys is increasingly frustrated by the lack of progress towards gaining his crown.,A Golden Crown,9.2,"26,744"
http://www.tvmaze.com/episodes/4958/game-of-thrones-1x07-you-win-or-you-die,1,7,2011-05-29,60,Eddard's investigations in King's Landing reach a climax and a dark secret is revealed.,You Win or You Die,9.2,"27,230"
http://www.tvmaze.com/episodes/4959/game-of-thrones-1x08-the-pointy-end,1,8,2011-06-05,60,Tyrion joins his father's army with unexpected allies. Events in King's Landing take a turn for the worse as Arya's lessons are put to the test.,The Pointy End,9.0,"25,313"
http://www.tvmaze.com/episodes/4960/game-of-thrones-1x09-baelor,1,9,2011-06-12,60,Catelyn must negotiate with the irascible Lord Walder Frey.,Baelor,9.6,"35,780"
http://www.tvmaze.com/episodes/4961/game-of-thrones-1x10-fire-and-blood,1,10,2011-06-19,60,Daenerys must realize her destiny. Jaime finds himself in an unfamiliar predicament.,Fire and Blood,9.5,"31,405"
http://www.tvmaze.com/episodes/4962/game-of-thrones-2x01-the-north-remembers,2,1,2012-04-01,60,"War grips the continent of Westeros. As Tyrion Lannister tries to take his strong-willed nephew in hand in King's Landing, Stannis Baratheon launches his own campaign to take the Iron Throne with the help of a mysterious priestess. In the east, Daenerys must lead her retinue through a desolate wasteland whilst beyond the Wall the Night's Watch seeks the aid of a wildling.",The North Remembers,8.8,"24,543"
