name,followers.total,popularity,pop,dance,latina,hip hop,rock,metal,others,genres,external_urls.spotify,country,active
Galantis,2647917,78,1,1,0,0,0,0,0,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'tropical house']",https://open.spotify.com/artist/4sTQVOfp9vEMCemLw50sbu,"Stockholm, Sweden",2012 (2012)–present
KSHMR,1036684,72,1,1,0,0,0,0,0,"['big room', 'dance pop', 'deep big room', 'edm', 'electro house', 'indian edm', 'progressive electro house', 'tropical house']",https://open.spotify.com/artist/2wX6xSig4Rig5kZU6ePlWe,"Berkeley, California",2006–present
El Cuarteto de Nos,417525,65,0,0,0,0,1,0,0,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol']",https://open.spotify.com/artist/13JJKrUewC1CJYmIDXQNoH," Uruguay, Montevideo",1984-present
Los Buenos Modales,3901,32,0,0,0,1,0,0,0,"['argentine hip hop', 'rap uruguayo']",https://open.spotify.com/artist/7rne4LJNgXjjgb8Q9s8qCl,,
Daft Punk,5418797,82,0,1,0,0,0,0,0,"['electro', 'electronic', 'filter house']",https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,"Paris, France",1993 (1993)–present[4]
Solomun,412363,63,0,1,0,0,0,0,0,"['german techno', 'hamburg electronic', 'microhouse', 'minimal techno', 'tech house']",https://open.spotify.com/artist/5wJK4kQAkVGjqM9x46KQOC,Travnik,2002–present
Hardwell,2910363,76,1,1,0,0,0,0,0,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'pop', 'progressive electro house', 'progressive house', 'tropical house']",https://open.spotify.com/artist/6BrvowZBreEkXzJQMpL174,Breda,2002–present
Kygo,5188349,89,1,1,0,0,0,0,0,"['edm', 'pop', 'tropical house']",https://open.spotify.com/artist/23fqKkggKUBHNkbKtXEls4,Singapore,2009–present
El Super Hobby,69525,45,1,0,1,0,0,0,0,"['cumbia paraguaya', 'cumbia pop']",https://open.spotify.com/artist/4nTNHKAVWQyqnvRuBW4N4V,,
La Triple Nelson,21536,39,0,0,0,0,0,0,1,['rio de la plata'],https://open.spotify.com/artist/1vs5Ejn8M22dZKl4oLcvgM,,
Pecho e´ Fierro,1928,24,0,0,0,0,0,1,0,"['metal uruguayo', 'rio de la plata']",https://open.spotify.com/artist/1JjSbRx2WJJ2Q1Dd4kxcpV,,
MC Kevinho,6293250,77,0,0,0,0,0,0,1,"['funk carioca', 'funk ostentacao']",https://open.spotify.com/artist/1mXAhKnZEdF6rotyyd4GBi,,
Pijama Party,79159,46,1,0,1,0,0,0,0,['cumbia pop'],https://open.spotify.com/artist/1aOhJVEGjCbYJLYPCitGdm,,
deadmau5,2271248,70,0,1,0,0,0,0,0,"['big room', 'canadian electronic', 'edm', 'electro house', 'progressive house']",https://open.spotify.com/artist/2CIMQHirSU0MQqyYHq0eOx,,
Avicii,14235360,90,1,1,0,0,0,0,0,"['big room', 'edm', 'pop']",https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6,Stockholm,2006–2018
Frank Sinatra,3083634,77,0,0,0,0,0,0,1,"['adult standards', 'easy listening', 'lounge']",https://open.spotify.com/artist/1Mxqyy3pSjf8kZZL4QVxS0,,1935–95
Lauv,1452889,85,1,1,0,0,0,0,0,"['dance pop', 'pop', 'post-teen pop']",https://open.spotify.com/artist/5JZ7CnR6gTvEMKX4g70Amv,San Francisco,2015–present
Stopelli,26,0,0,0,0,0,0,0,1,[],https://open.spotify.com/artist/2YET8l4BuoMZSB3aiZ7Cg4,,
Shawn Mendes,18349564,95,1,1,0,0,0,0,0,"['canadian pop', 'dance pop', 'pop', 'viral pop']",https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr,Toronto,2013–present
Martin Garrix,10813922,88,1,1,0,0,0,0,0,"['big room', 'edm', 'pop', 'progressive house', 'tropical house']",https://open.spotify.com/artist/60d24wfXkVzDSfLS6hyCjZ,Amstelveen,2012–present
Cessyl Orchestra,559,33,0,0,0,0,0,0,1,[],https://open.spotify.com/artist/4El3COwcIdiD8VXs53VXBg,[1],1989–present
Bomba Estéreo,713160,68,0,0,1,0,0,0,0,"['cumbia', 'latin alternative']",https://open.spotify.com/artist/5n9bMYfz9qss2VOW89EVs2,"Bogotá, Colombia",2005–present
Tiësto,4489029,84,1,1,0,0,0,0,0,"['big room', 'brostep', 'dance pop', 'edm', 'electro house', 'house', 'pop', 'trance', 'tropical house']",https://open.spotify.com/artist/2o5jDhtHVPhrJdv3cEQ99Z,Breda,1994–present
Troye Sivan,3618305,83,1,1,0,0,0,0,0,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'viral pop']",https://open.spotify.com/artist/3WGpXCj9YhhfX11TToZcXP,Johannesburg,2007–present
Dostrescinco,7629,39,0,0,0,1,0,0,0,"['latin funk', 'rap uruguayo']",https://open.spotify.com/artist/5HgYp4LTsgdeeclzVlrtfO,,
Lucas Sugo,102167,57,1,0,1,0,0,0,0,"['canto popular uruguayo', 'cumbia pop', 'cumbia uruguaya']",https://open.spotify.com/artist/0WnP62TjkFfRrt52yE8zcX,,
ZAYN,8518827,84,1,1,0,0,0,0,0,"['dance pop', 'pop', 'post-teen pop']",https://open.spotify.com/artist/5ZsFI1h6hIdQRw2ti0hz81,,
Ed Sheeran,47788329,100,1,0,0,0,0,0,0,"['pop', 'uk pop']",https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V,"Halifax, West Yorkshire",2004–present
Zalo Solo,435,19,0,0,0,1,0,0,0,"['argentine hip hop', 'rap uruguayo']",https://open.spotify.com/artist/1ENCqEAeCXbL7fXwxJspod,,
Arquero,2545,37,0,0,0,1,0,0,0,"['rap uruguayo', 'uruguayan indie']",https://open.spotify.com/artist/7j3rplwFIjrg9Wm1yrHLx6,,
Ozuna,17822815,95,0,0,1,1,0,0,0,"['reggaeton', 'trap latino']",https://open.spotify.com/artist/1i8SpTcr7yvPOmcqrbnVXY,,
Jonas Blue,2132446,86,1,1,0,0,0,0,0,"['dance pop', 'edm', 'pop', 'tropical house', 'uk dance']",https://open.spotify.com/artist/1HBjj22wzbscIZ9sEb5dyf,Chelmsford,2015–present
Keira Knightley,55493,53,0,0,0,0,0,0,1,[],https://open.spotify.com/artist/2MG46ekjBSFwPgzoIZvHFU,Teddington,1993–present
Gula,506,21,0,0,0,0,0,0,1,[],https://open.spotify.com/artist/3YCbz6dwAhfxl5xiSaZLtX,,
Adam Levine,734441,72,1,0,0,0,1,0,0,['pop rock'],https://open.spotify.com/artist/4bYPcJP5jwMhSivRcqie2n,Los Angeles,1994–present
Guns N' Roses,12984677,82,0,0,0,0,1,1,0,"['glam metal', 'hard rock', 'rock']",https://open.spotify.com/artist/3qm84nBOXUEQ2vnTfUTTFC,"Los Angeles, California, U.S.",1985–present
Calvin Harris,17513967,89,1,1,0,0,0,0,0,"['edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY,Dumfries,2002–present
Santi Mostaffa,1281,33,0,0,0,1,0,0,0,"['argentine hip hop', 'rap uruguayo']",https://open.spotify.com/artist/3oVa1dCIWhoJ4cTFgrEgWG,,
Dimitri_Vegas_&_Like_Mike,2493413,79,1,1,0,0,0,0,0,"['belgian dance', 'belgian edm', 'big room', 'dance pop', 'deep big room', 'edm', 'electro house', 'progressive electro house', 'tropical house']",https://open.spotify.com/artist/73jBynjsVtofjRpdpRAJGk,,2007–present
Paulo Londra,6073794,89,0,0,0,1,0,0,0,"['argentine hip hop', 'trap argentino', 'trap latino']",https://open.spotify.com/artist/3vQ0GE3mI0dAaxIMYe5g7z,"Córdoba, Argentina",2017–present
Ariana Grande,32796982,94,1,1,0,0,0,0,0,"['dance pop', 'pop', 'post-teen pop']",https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,"Boca Raton, Florida",2008–present
BERNA,144,22,0,0,0,0,0,0,1,[],https://open.spotify.com/artist/0pu9CItC6Ei7YDVdP7Bz1f,,
Lady Gaga,8401376,88,1,1,0,0,0,0,0,"['dance pop', 'pop']",https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms,New York City,2001–present
Anne-Marie,4082194,84,1,1,0,0,0,0,0,"['dance pop', 'pop', 'post-teen pop', 'tropical house', 'uk pop']",https://open.spotify.com/artist/1zNqDE7qDGCsyzJwohVaoX,,
Anuel AA,7016284,93,0,0,1,1,0,0,0,"['reggaeton flow', 'trap latino']",https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66,"Carolina, Puerto Rico",2009–present
Daddy Yankee,12167842,94,1,0,1,1,0,0,0,"['latin', 'latin hip hop', 'pop', 'reggaeton', 'tropical']",https://open.spotify.com/artist/4VMYDCV2IEDYJArk749S6m,San Juan,1991–present[2]
Dua Lipa,12554510,87,1,1,0,0,0,0,0,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we,London,2015–present
Charlie Puth,7183352,82,1,1,0,0,0,0,0,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",https://open.spotify.com/artist/6VuMaDnrHyPL1p4EHjYLi7,"Rumson, New Jersey",2009–present
Lost Frequencies,1370500,76,1,1,0,0,0,0,0,"['belgian edm', 'edm', 'pop', 'tropical house']",https://open.spotify.com/artist/7f5Zgnp2spUuuzKplmRkt7,Brussels,2014–present
Niall Horan,3893140,77,1,1,0,0,0,0,0,"['australian pop', 'dance pop', 'neo mellow', 'pop', 'post-teen pop']",https://open.spotify.com/artist/1Hsdzj7Dlq2I7tHP7501T4,Mullingar,2010–present
