,external_urls.spotify,followers.href,followers.total,genres,href,id,images,name,popularity,type,uri
0,https://open.spotify.com/artist/4sTQVOfp9vEMCemLw50sbu,,2644964,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'tropical house']",https://api.spotify.com/v1/artists/4sTQVOfp9vEMCemLw50sbu,4sTQVOfp9vEMCemLw50sbu,"[{'height': 640, 'url': 'https://i.scdn.co/image/5f57c69e2c34edb9847af7ada2e67449d1754df1', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ee7bfb312bb89c01762c9a8912abd9931639487c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/f890bef481e6459d799143f76c7edc59c4ae347b', 'width': 160}]",Galantis,78,artist,spotify:artist:4sTQVOfp9vEMCemLw50sbu
1,https://open.spotify.com/artist/13JJKrUewC1CJYmIDXQNoH,,416688,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol']",https://api.spotify.com/v1/artists/13JJKrUewC1CJYmIDXQNoH,13JJKrUewC1CJYmIDXQNoH,"[{'height': 640, 'url': 'https://i.scdn.co/image/2ca26ac6794b6eda9176b1a1820af220894b88e1', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/509843f7836d2216d8ccda930a885bd064e5ff26', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/5dc353774bf0219026e629f878bc20ada2d00735', 'width': 160}]",El Cuarteto De Nos,66,artist,spotify:artist:13JJKrUewC1CJYmIDXQNoH
2,https://open.spotify.com/artist/7rne4LJNgXjjgb8Q9s8qCl,,3883,"['argentine hip hop', 'rap uruguayo']",https://api.spotify.com/v1/artists/7rne4LJNgXjjgb8Q9s8qCl,7rne4LJNgXjjgb8Q9s8qCl,"[{'height': 640, 'url': 'https://i.scdn.co/image/799c74e2b50ed4f7376fd81d90260d339675bacb', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/4d4bfc6c6c08a3991cf0c25032d3db5a5820272c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/520a9fb17a073aa6dec04948556a0ab62ee2c493', 'width': 160}]",Los Buenos Modales,32,artist,spotify:artist:7rne4LJNgXjjgb8Q9s8qCl
3,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,,5412551,"['electro', 'electronic', 'filter house']",https://api.spotify.com/v1/artists/4tZwfgrHOc3mvqYlEYSvVi,4tZwfgrHOc3mvqYlEYSvVi,"[{'height': 1000, 'url': 'https://i.scdn.co/image/1914cb5697a8d1564dba418a27a7551d7243b79c', 'width': 1000}, {'height': 640, 'url': 'https://i.scdn.co/image/486fee1d3efda3ff7eeee2016d18f279cae9c77e', 'width': 640}, {'height': 200, 'url': 'https://i.scdn.co/image/ab7eb5c69836f3d7a124f4c88d42bd8a4b6e127b', 'width': 200}, {'height': 64, 'url': 'https://i.scdn.co/image/94a2b2dc5ed7726c7c4cc050b7a1ce210bae6611', 'width': 64}]",Daft Punk,82,artist,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
4,https://open.spotify.com/artist/5wJK4kQAkVGjqM9x46KQOC,,411393,"['german techno', 'hamburg electronic', 'microhouse', 'minimal techno', 'tech house']",https://api.spotify.com/v1/artists/5wJK4kQAkVGjqM9x46KQOC,5wJK4kQAkVGjqM9x46KQOC,"[{'height': 640, 'url': 'https://i.scdn.co/image/7b5bfafaa4a3cd0ccbdc96736b7cd7023a64b43e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/a7166d9f844c2af97e90fb507091b66e58491dba', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/5e42f50f012b8947f800a9acd6ce34de538a75db', 'width': 160}]",Solomun,63,artist,spotify:artist:5wJK4kQAkVGjqM9x46KQOC
5,https://open.spotify.com/artist/23fqKkggKUBHNkbKtXEls4,,5177893,"['edm', 'pop', 'tropical house']",https://api.spotify.com/v1/artists/23fqKkggKUBHNkbKtXEls4,23fqKkggKUBHNkbKtXEls4,"[{'height': 640, 'url': 'https://i.scdn.co/image/1caaca2be637b0c56bb0ede637e36a8bcca149d1', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/4d530661a929ae7eaddc8fb94e45dd7376f00bd6', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/60d18612c09315ecd91b38997a69ccab25863fb6', 'width': 160}]",Kygo,89,artist,spotify:artist:23fqKkggKUBHNkbKtXEls4
6,https://open.spotify.com/artist/4nTNHKAVWQyqnvRuBW4N4V,,69450,"['cumbia paraguaya', 'cumbia pop']",https://api.spotify.com/v1/artists/4nTNHKAVWQyqnvRuBW4N4V,4nTNHKAVWQyqnvRuBW4N4V,"[{'height': 640, 'url': 'https://i.scdn.co/image/1b5ccf5cc03abd19bfab404e86011341e81971f2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/fd5c30291ce1001866732f549658f2707f443475', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/64e47ee18f907aa495fa496ada74466d834a0f60', 'width': 160}]",El Super Hobby,45,artist,spotify:artist:4nTNHKAVWQyqnvRuBW4N4V
7,https://open.spotify.com/artist/1mXAhKnZEdF6rotyyd4GBi,,6288354,"['funk carioca', 'funk ostentacao']",https://api.spotify.com/v1/artists/1mXAhKnZEdF6rotyyd4GBi,1mXAhKnZEdF6rotyyd4GBi,"[{'height': 640, 'url': 'https://i.scdn.co/image/a3a12662f1a040b39c726502b7f6f1bd2fe6e281', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ecafaddd75af2a0c3ac78955e1c7502dc0dff65b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/49cb6b7dac125f2cdacdbdea1f89658b0924b55f', 'width': 160}]",MC Kevinho,77,artist,spotify:artist:1mXAhKnZEdF6rotyyd4GBi
8,https://open.spotify.com/artist/1aOhJVEGjCbYJLYPCitGdm,,79064,['cumbia pop'],https://api.spotify.com/v1/artists/1aOhJVEGjCbYJLYPCitGdm,1aOhJVEGjCbYJLYPCitGdm,"[{'height': 640, 'url': 'https://i.scdn.co/image/a57983310e6ad05819d24abcffd9cc7acfd6b7c1', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/a9a0b01d4c42906a4499b843df9e3449ae663918', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/f614b25b1b96baedeec31a036271b3dce2f3c904', 'width': 160}]",Pijama Party,46,artist,spotify:artist:1aOhJVEGjCbYJLYPCitGdm
9,https://open.spotify.com/artist/2CIMQHirSU0MQqyYHq0eOx,,2269797,"['big room', 'canadian electronic', 'edm', 'electro house', 'progressive house']",https://api.spotify.com/v1/artists/2CIMQHirSU0MQqyYHq0eOx,2CIMQHirSU0MQqyYHq0eOx,"[{'height': 640, 'url': 'https://i.scdn.co/image/86e8991077d6ce237be8f24dbc65e90f2e1f2a43', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/cd362662352ce88b693b1a31cf5c9784730291dd', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/70e010473dc0f158253111e035c71086fb7904fa', 'width': 160}]",deadmau5,70,artist,spotify:artist:2CIMQHirSU0MQqyYHq0eOx
