date,rating,title,pros,cons,advice,reviewer,url
2021-03-13,3,Good product bad pay,The product is amazing and so are the people!,Not the greatest base pay and no real leadership,None,Account Executive,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW43952934.htm
2021-03-04,5,I love Typeform!,"Good CEO, salary &amp; time","Coffee, lunch and snacks and time off",None,Growth Manager,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW43500767.htm
2021-03-02,5,Good,This is no pros and i like it,Highly efficient and care for employes,None,Data Entry,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW43372871.htm
2021-02-11,5,Best onboarding ever. 🤩,"Professional, driven and empathetic humans who truly put their values and ethic into their work, teams and output. Positive, progressive, modern thinkers who are also approachable, friendly, aligned, organized, ambitious and more than capable. They also go out of their way to support and promote humanitarian and other positive causes, initiatives and organizations, partnering to help facilitate positive change.","Timezone workarounds due to international hybrid work culture, due to Covid-19 and also more of a modern reality than an actual Con.","One day, it would be absolutely amazing to acquire national/international government capacities, in order to actively reform, digitize and expedite broken, dated, confusing and overwhelmed analog systems.  🙏🏼",None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW42376252.htm
2021-02-10,5,Feedback,Smooth interview process. Friendly and Authentic People.,So far no need for constructive feedback :),None,People Ops,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW42259875.htm
2021-01-29,5,General Review,Very good communication among team members / chill ambience,I can't say something bad,None,Senior Graphic Designer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW41617837.htm
2021-01-27,5,Company that really cares.,"I've been an employee at Typeform for over a year now and up till now, I can only say that it´s been an amazing journey despite the Covid -19 situation. From my very first conversation with Alex, followed by a fantastic onboarding with Kasia, I was made to feel at home with from the get-go. 

6 -months into the job the Covid pandemic struck the whole of Europe. At no given moment did I ever feel that my job was at risk or even unsettled. The people team gave weekly updates informing Typeformers of the latest news, regarding business and Covid. During the pandemic, the company went the extra mile to ensure that everyone was cared for with continuous help and support. 

A company that evolves - Typeform is now a remote-first organisation which has adapted in record time to the new circumstances and continues to learn on how to create amazing experiences without having to be in an office.

Is the company perfect? No, but like any start-up is definitely on its way to being up there with some of the big players. It´s effortless to criticise what the Org. hasn't got but is important to recognise the business for all the good things that it has.",Urgent need of a more diverse workforce in Engineering - this is not a problem only common to Typeform.,None,None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW41481871.htm
2021-01-22,3,Good place to work,Perks and benefits are amazing,"Lack of Strategy or constant change of priorities
Lack of communication across teams that difficults alignment",None,None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW41273724.htm
2021-01-14,5,Just onboarded,"Amazing experience until now, a very welcoming team ready to help you any time and make you full included",Too early to comment on that,None,Customer Success,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW40678385.htm
2021-01-13,5,Great brand vision and company culture,"Talented and driven teams, supportive and empathetic peers, strong brand values and excellent HR team. Genuinely feel happy to come to work.","Slight lack of clarity and direction at times, but this is outweighed by a desire to figure things out.",None,Marketing,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW40591580.htm
