,category,id,location.latitude,location.longitude,location.street.id,location.street.name,location_subtype,Force,month,outcome_status,outcome_status.category,outcome_status.date,persistent_id
0,anti-social-behaviour,71188821,53.479184,-2.240367,726005,On or near Nightclub,,GM Police,Jan,,,,7a8a9b1f03aa835e7825738a0f80d4fd6d0fee2ad6d063623249d00b98e4c7b1
1,anti-social-behaviour,71188822,53.476777,-2.243518,725882,On or near Hall Street,,GM Police,Jan,,,,6e68340753b6d5b116a03b6ffcbd8fb1a4ab432aacc0108db8f82d8cdf63192f
2,anti-social-behaviour,71188826,53.475420,-2.243480,723396,On or near Chepstow Street South,,GM Police,Jan,,,,3e3a66281c760b7513ecb997445fdef4a2f6e46c993c4d4bd10f26d563e90d4c
3,anti-social-behaviour,71188827,53.478436,-2.241041,725968,On or near George Street,,GM Police,Jan,,,,08df7d2f6f532d8558ff2bb89fb8aef3a091d3330b38cff14cc8e64d86e235a6
4,anti-social-behaviour,71188832,53.482641,-2.246399,726114,On or near Nightclub,,GM Police,Jan,,,,283957ba0d00a0d8699b288a3691ddcba1986da838d7b6ddcbf176ade26339a3
5,anti-social-behaviour,71188833,53.478732,-2.236975,725967,On or near Gold Street,,GM Police,Jan,,,,235ce1b4a86edbdf12b9f75f356ef00c7b5754b7c77ee230855e2dff75519eb3
6,anti-social-behaviour,71188834,53.477477,-2.239785,725903,On or near Nightclub,,GM Police,Jan,,,,dfedeaef5a6f72b9720be7a91cb3f9950f5d38411b32ff6e4f8304f7814b69ea
7,anti-social-behaviour,71188835,53.481250,-2.236341,725945,On or near Piccadilly,,GM Police,Jan,,,,c442f823dc3392b469eff47b5a7bba824da695cdeea379bb15c583a6b69f7eec
8,anti-social-behaviour,71188836,53.480782,-2.232360,725829,On or near China Lane,,GM Police,Jan,,,,51a2efd0c234841ffd92ce377b365d65ecd6f61930cb72fd54e031764338130e
9,anti-social-behaviour,71188839,53.477691,-2.253739,726063,On or near Lower Byrom Street,,GM Police,Jan,,,,c2a094aaa1175593a9614cde7dfcf8bd7d2e642b645ce35345afb240a96bdbdf
10,anti-social-behaviour,71188846,53.482879,-2.244502,726111,On or near Theatre/concert Hall,,GM Police,Jan,,,,911cf2ad0f88b57c5a3b26d211c3332f462516411d2d53e4e3d573c518af1051
11,anti-social-behaviour,71188847,53.481250,-2.236341,725945,On or near Piccadilly,,GM Police,Jan,,,,fe3d350e49518fe840c9e3bfa6d4c23591e2c808d1974fa0389aafd5a6ab16d3
12,anti-social-behaviour,71188848,53.475073,-2.237527,723494,On or near Nightclub,,GM Police,Jan,,,,36cfc5e411b921404c845d0adc8bb141459a84873ecd4e87b2246bd0cd584f78
13,anti-social-behaviour,71188850,53.474059,-2.241016,723454,On or near James Leigh Street,,GM Police,Jan,,,,c9bceff66cc9614d77b10ec8afcf7f9fa7343437590519e35d369ef89d53bb00
14,anti-social-behaviour,71188851,53.481936,-2.215791,725811,On or near Hackleton Close,,GM Police,Jan,,,,ecefc9d0c9b144e15cfc10085b7cd51fa3ace885df77ab6616e96afc31bcabd4
15,anti-social-behaviour,71188852,53.479835,-2.238126,725916,On or near Parking Area,,GM Police,Jan,,,,b1f1ce054d969c32579dc5f65c9c07dc74bb0a73b02dfebd11bc2f21eb30c5da
16,anti-social-behaviour,71188853,53.483839,-2.245216,726124,On or near Shopping Area,,GM Police,Jan,,,,48352f77e17a01ae94231e5435818fc6e7519a134d5e9efcb889f9c35728adcc
17,anti-social-behaviour,71188854,53.481833,-2.245897,726043,On or near St Ann Street,,GM Police,Jan,,,,c904dcd6175419ea9acc03bb21cef3a8c1ad438098366f3a0c4c45d943db5b75
