pokemon_id,pokemon_name,form,bol_release,max_cp,base_hp,base_attack,base_defense,Grass,Fire,Water,Bug,Normal,Dark,Poison,Electric,Ice,Ground,Fairy,Fighting,Psychic,Rock,Ghost,Dragon,Steel,Flying,pct_catch,pct_flee,fast_moves,charge_moves,img_link
1,Bulbasaur,Normal,1,1115,128,118,111,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20%,10%,Vine WhipTackle,Seed BombSludge BombPower WhipFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png
2,Ivysaur,Normal,1,1699,155,151,143,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10%,7%,Vine WhipRazor Leaf,Sludge BombSolar BeamPower WhipFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png
3,Venusaur,Normal,1,2720,190,198,189,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5%,5%,Vine WhipRazor Leaf,Petal BlizzardSludge BombSolar BeamFrenzy Plant (Community Day)Frustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png
4,Charmander,Normal,1,980,118,116,93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20%,10%,EmberScratch,FlamethrowerFlame ChargeFlame BurstFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png
5,Charmeleon,Normal,1,1653,151,158,126,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10%,7%,EmberFire Fang,FlamethrowerFlame BurstFire PunchFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png
6,Charizard,Normal,1,2889,186,223,173,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5%,5%,Air SlashFire Spin,Dragon ClawFire BlastOverheatBlast Burn (Community Day)Frustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png
7,Squirtle,Normal,1,946,127,94,121,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20%,10%,TackleBubble,Aqua JetAqua TailWater PulseFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png
8,Wartortle,Normal,1,1488,153,126,155,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10%,7%,BiteWater Gun,Ice BeamAqua JetHydro PumpFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png
9,Blastoise,Normal,1,2466,188,171,207,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5%,5%,BiteWater Gun,Flash CannonIce BeamHydro PumpHydro Cannon (Community Day)Skull BashFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png
10,Caterpie,Normal,1,437,128,55,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,20%,Bug BiteTackle,Struggle,https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png
11,Metapod,Normal,1,450,137,45,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,9%,Bug BiteTackle,Struggle,https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png
12,Butterfree,Normal,1,1827,155,167,137,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.5%,6%,ConfusionStruggle Bug,Bug BuzzSignal BeamPsychic,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png
13,Weedle,Normal,1,456,120,63,50,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50%,20%,Bug BitePoison Sting,StruggleFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png
14,Kakuna,Normal,1,432,128,46,75,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25%,9%,Bug BitePoison Sting,StruggleFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png
15,Beedrill,Normal,1,1846,163,169,130,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.5%,6%,Poison JabInfestation,Aerial AceSludge BombX-ScissorFell StingerFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png
16,Pidgey,Normal,1,680,120,85,73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,50%,20%,Quick AttackTackle,Aerial AceTwisterAir Cutter,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png
17,Pidgeotto,Normal,1,1194,160,117,105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,25%,9%,Wing AttackSteel Wing,Aerial AceTwisterAir Cutter,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png
18,Pidgeot,Normal,1,2129,195,166,154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12.5%,6%,Steel WingAir Slash,Aerial AceHurricaneBrave Bird,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png
19,Rattata,Alola,1,734,102,103,70,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,50%,20%,Quick AttackTackle,Shadow BallHyper FangCrunch,https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png
19,Rattata,Normal,1,734,102,103,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,20%,Quick AttackTackle,DigHyper FangBody SlamFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png
20,Raticate,Alola,1,1705,181,135,154,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20%,7%,BiteQuick Attack,Hyper BeamHyper FangCrunch,https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png
