pokemon_id,pokemon_name,type,attack,defense,base_hp,pct_catch,pct_flee,fast_moves,charge_moves,img_link,form
1,Bulbasaur,Grass Poison,128,118,111,20%,10%,Vine WhipTackle,Seed BombSludge BombPower WhipFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png,Normal
2,Ivysaur,Grass Poison,155,151,143,10%,7%,Vine WhipRazor Leaf,Sludge BombSolar BeamPower WhipFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png,Normal
3,Venusaur,Grass Poison,190,198,189,5%,5%,Vine WhipRazor Leaf,Petal BlizzardSludge BombSolar BeamFrenzy Plant (Community Day)Frustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png,Normal
4,Charmander,Fire ,118,116,93,20%,10%,EmberScratch,FlamethrowerFlame ChargeFlame BurstFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png,Normal
5,Charmeleon,Fire ,151,158,126,10%,7%,EmberFire Fang,FlamethrowerFlame BurstFire PunchFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png,Normal
6,Charizard,Fire Flying,186,223,173,5%,5%,Air SlashFire Spin,Dragon ClawFire BlastOverheatBlast Burn (Community Day)Frustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png,Normal
7,Squirtle,Water ,127,94,121,20%,10%,TackleBubble,Aqua JetAqua TailWater PulseFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png,Normal
8,Wartortle,Water ,153,126,155,10%,7%,BiteWater Gun,Ice BeamAqua JetHydro PumpFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png,Normal
9,Blastoise,Water ,188,171,207,5%,5%,BiteWater Gun,Flash CannonIce BeamHydro PumpHydro Cannon (Community Day)Skull BashFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png,Normal
10,Caterpie,Bug ,128,55,55,50%,20%,Bug BiteTackle,Struggle,https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png,Normal
11,Metapod,Bug ,137,45,80,25%,9%,Bug BiteTackle,Struggle,https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png,Normal
12,Butterfree,Bug Flying,155,167,137,12.5%,6%,ConfusionStruggle Bug,Bug BuzzSignal BeamPsychic,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png,Normal
13,Weedle,Bug Poison,120,63,50,50%,20%,Bug BitePoison Sting,StruggleFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png,Normal
14,Kakuna,Bug Poison,128,46,75,25%,9%,Bug BitePoison Sting,StruggleFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png,Normal
15,Beedrill,Bug Poison,163,169,130,12.5%,6%,Poison JabInfestation,Aerial AceSludge BombX-ScissorFell StingerFrustration (Shadow)Return (Shadow),https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png,Normal
