,prod_name,price_whole,price_bulk,price_old,stars,reviews,delivery_date
0,"Válquer Profesional Pack Tratamiento Capilar Alisado Francés, Pelo Liso. Perfecto Hasta 6 Meses, Alisado Keratina. Alisar cabello. Hidratación y brillo.","24,14","(24,14 €/unidad)",,"3,2 de 5 estrellas",27.0,"mañana, 7 de abril"
1,"Válquer Profesional Ice Hair Mask. Mascarilla Capilar efecto hielo 0% volumen. Sin sal, sin parabenos y sin sulfatos.Cabellos lisos - 300 ml","13,99","(4,66 €/100 ml)",,"4,4 de 5 estrellas",24.0,"mañana, 7 de abril"
2,"KOKEN - Champú Neutro Profesional 5L- Fórmula neutra y suave, todo tipo de cabello, uso diario","14,90","(0,30 €/100 ml)",,,,
3,Pack Champu 0% Sulfatos 1000ml + Mascarilla 0% Sulfatos 200 ml,"22,48","(22,48 €/unidad)","27,00 €","4,4 de 5 estrellas",10.0,
4,"L'Oréal Professionnel Champú Absolut Repair, 500 Mililitros","11,86","(2,37 €/100 ml)",,"4,4 de 5 estrellas",4.79,"domingo, 11 de abril"
5,"Profesional Cosmetics Protein Complex Keratin Treatment - Mascarilla para el pelo, 1000 ml","13,30","(1,33 €/100 ml)","14,00 €","3,7 de 5 estrellas",15.0,"mañana, 7 de abril"
6,L'Oréal Professionnel - Champú Pro Longer Renovador de Puntas - 300 ml,"7,00","(2,33 €/100 ml)","16,82 €","4,5 de 5 estrellas",11.0,"mañana, 7 de abril"
7,"Moi Profesional Champú Profesional Neutro Suave Bamboo Natural sin Parabenos, Uso Frecuente 5000 ml(Garrafa) Moi Haircare 1 Unidad 5090 g","23,60","(0,47 €/100 ml)",,"4,5 de 5 estrellas",16.0,"mañana, 7 de abril"
8,L'Oréal Professionnel Nutrifier,"12,20","(4,88 €/100 ml)",,"4,3 de 5 estrellas",2.057,"mañana, 7 de abril"
9,Wella Champú Fusion - 1000 ml,"17,95","(1,80 €/100 ml)",,"4,6 de 5 estrellas",3.317,"mañana, 7 de abril"
10,Válquer Premium Champú,"16,97","(0,34 €/100 ml)","18,75 €","4,1 de 5 estrellas",163.0,
11,Profesional Cosmetics Placentinol champú antigrasa 3 en 1-1000 ml.,"16,89","(1,69 €/100 ml)",,"3,6 de 5 estrellas",12.0,"mañana, 7 de abril"
12,"Schwarzkopf Professional BC Peptide Repair Sealed Ends Tratamiento Reparador Puntas Dañadas, 150 ml","8,95","(5,97 €/100 ml)","23,73 €","4,7 de 5 estrellas",1.712,"jueves, 8 de abril"
13,Mascarilla Capilar Nutritiva y Reparadora (1000ml),"16,02","(1,60 €/100 ml)",,"3,9 de 5 estrellas",36.0,"mañana, 7 de abril"
14,"L'Oréal Professionnel Gold Quinoa + Protein Absolut Repair - Mascarilla para pelo, 500 ml","25,99","(5,20 €/100 ml)",,"4,5 de 5 estrellas",1.967,"mañana, 7 de abril"
15,L'Oréal Professionnel Serie Expert Absolut Repair Lipidium Shampoo 1500ml and Pump,"34,89","(2,33 €/100 ml)",,"4,3 de 5 estrellas",17.0,
16,"Schwarzkopf Professionnelle Care E&G - Champú, 5000 ml","36,95","(0,74 €/100 ml)",,"4,8 de 5 estrellas",49.0,
17,L'Oréal Volumetry Anti Gravity Effect Champú - 1500 ml,"26,70","(1,78 €/100 ml)",,"4,5 de 5 estrellas",77.0,"domingo, 11 de abril"
18,Valquer Profesional Champú Especial Incoloro para peluquería. Champú para profesional. Champú garrafa-5000ML,"15,25","(0,31 €/100 ml)",,"4,2 de 5 estrellas",123.0,"mañana, 7 de abril"
19,"Simlug 【𝐕𝐞𝐧𝐭𝐚 𝐑𝐞𝐠𝐚𝐥𝐨 𝐏𝐫𝐢𝐦𝐚𝒗𝐞𝐫𝐚】 Mascarilla mágica para el Cabello, Tratamiento nutritivo con acondicionador Profundo Profesional Daño de reparación Suave y Suave, 120 ml","7,88",,,,,
20,"abril et nature - Pack Regalo Tratamiento Profesional para Cabello Seco REHYDRATION - Incluye Mascarilla Pelo, Sérum Pelo y Champú Hidratante - Tratamiento Hidratante Cabello Peluquería","39,90","(7,25 €/100 ml)",,"4,2 de 5 estrellas",65.0,"mañana, 7 de abril"
21,CHAMPU PROFESIONAL REGENERADOR CELULAS MADRE VEGETALES Y QUERATINA,"22,42","(22,42 €/unidad)",,,,
22,"Valquer Profesional Mascarilla Capilar Reparadora Intensiva de Oliva. Reestructurante. Cabellos secos y dañados. Sin sulfatos, sin sal. Vegano. Reparación cabello","21,20","(2,12 €/100 ml)","22,88 €","4,6 de 5 estrellas",113.0,
23,Valquer Laboratorios Profesional Pack Capilar Cold Keratin. Reparación capilar express. Champú preparador 300 ml + Keratina 300 ml + Ice Hair Mask 300 ml. Cabellos dañados,"24,00","(8,00 €/unidad)",,,,"mañana, 7 de abril"
24,Concentrado botox capilar con Dulcemin LS 85994 12 ampollas Olvi,"69,90","(69,90 €/Unidad)",,"2,2 de 5 estrellas",4.0,
25,"Profesional Cosmetics Protein Complex Silver - Champú, 1000 ml","11,95","(1,20 €/100 ml)",,"5,0 de 5 estrellas",2.0,"mañana, 7 de abril"
26,"KATIVA Bmt Kerapro Advanced Shampoo Post Alisado, Negro, 300 Mililitros","15,92",Más opciones de compra,"19,95 €","4,2 de 5 estrellas",15.0,"jueves, 8 de abril"
27,"Be Natural Pack de Alisado Profesional Brasileño + Pack Postalisado Lisso Keratina, Blanco","21,95","(21,95 €/unidad)","29,99 €","4,3 de 5 estrellas",149.0,"mañana, 7 de abril"
28,Matrix Opti.Smooth Normal Sistema de Alisado Permanente Cabello Normal - 100 ml,"41,60","(41,60 €/unidad)",,"3,9 de 5 estrellas",45.0,
29,Schwarzkopf Professional Silhouette Super Hold Laca - 300 ml,"5,10","(1,70 €/100 ml)",,"4,5 de 5 estrellas",81.0,"jueves, 8 de abril"
30,DIPLONA Champú para cabello teñido y teñido - YOUR COLOR PROFI Champú para mujeres - Champú vegano sin siliconas ni parabenos - Cuidado del cabello para mujer 600 ml,"13,99","(2,33 €/100 ml)",,,,"domingo, 11 de abril"
31,"Wella INVIGO Balance Aqua Pure Shampoo Unisex No profesional Champú 1000 ml - Champues (Unisex, No profesional, Champú, 1000 ml, 1 pieza(s)) (8005610642529)","15,25","(1,53 €/100 ml)",,"4,5 de 5 estrellas",474.0,"mañana, 7 de abril"
32,"Schwarzkopf Professional BONACURE Peptide Repair Rescue, Mascarilla Nutritiva Intensa, 750ml",,,,"4,5 de 5 estrellas",691.0,
33,Mascarilla de Keratina y celulas madre 500ml,"23,77","(23,77 €/unidad)",,"2,7 de 5 estrellas",7.0,
34,WELLA Invigo Color Brilliance Shampoo Fijn en Normaal Haar 1000ml,"14,58","(14,58 €/l)",,"4,7 de 5 estrellas",1.108,"domingo, 11 de abril"
35,L'Oréal Professionnel - Champú Nutrifier para Cabello Seco y Deshidratado - 300 ml,"7,95","(2,65 €/100 ml)","16,82 €","4,4 de 5 estrellas",113.0,"mañana, 7 de abril"
36,Loreal Expert Vitamino Color Resveratrol Champú 1500 ml,"19,75","(1,32 €/100 ml)",,"4,7 de 5 estrellas",1.025,"jueves, 8 de abril"
37,"Schwarzkopf, Mascarilla para el pelo - 200 ml.","7,41","(3,71 €/100 ml)",,"4,4 de 5 estrellas",930.0,"mañana, 7 de abril"
38,K-Cheratina - Champú de Reconstrucción - Tratamiento Profesional con Queratina para Reparar el Cabello Dañado - Repara el Daño e Hidrata - 250 ml,"15,99","(6,40 €/100 ml)",,"4,1 de 5 estrellas",54.0,"jueves, 8 de abril"
39,Invigo Nutri-enrich Mask 500 ml,"16,30","(3,26 €/100 ml)",,"4,4 de 5 estrellas",719.0,"mañana, 7 de abril"
40,L'Oréal Professionnel Champú Vitamino 500 ml,"13,50","(2,70 €/100 ml)",,"4,7 de 5 estrellas",2.711,"mañana, 7 de abril"
