,prod_name,price,old_price,price_ml,stars,reviews,delivery_date
0,Revlon Professional UniqOne Champú y Acondicionador 1000 ml,,,,4.5,3003.0,
1,"UniqOne Revlon Professional - Tratamiento para el cabello, Coco, 150 ml",6.95,11.66,4.63,4.5,8705.0,6 de abril
2,UniqOne Revlon Professional Classico Tratamiento en Spray para Cabello 150 ml y Super10R Mascarilla 300 ml - Pack 300 ml,14.95,15.6,,4.5,70.0,
3,Revlon Professional ProYou Textura de Peinado para Cabello Fino 350 ml,12.99,,,4.0,71.0,6 de abril
4,REVLON PROFESSIONAL Nutri Color Filters #400 Tangerine 240 ml,11.71,15.0,,4.6,80.0,6 de abril
5,Revlon Professional UniqOne Super10R Mascarilla Capillar 300 ml,10.49,,3.5,4.3,4649.0,6 de abril
6,"Revlon Professional Equave cuidado demelant Instantane sin rincage 2 Phases Blond azul Cheveux blonds, 200 ml",7.15,9.45,3.58,4.5,1720.0,6 de abril
7,Revlon Professional UniqOne Coco Champú Acondicionador 1000 ml,11.27,14.19,1.13,4.6,83.0,
8,REVLON PROFESSIONAL Nutri Color Filters #1022 Intense Plantinum 240 ml,15.0,,,4.6,28.0,6 de abril
9,Revlon Professional ProYou Champú Hidratante Rizos 1000 ml,12.62,30.0,1.26,5.0,1.0,
10,REVLON PROFESSIONAL Nutri Color Filters #020 Lavender 100 ml,10.0,,,3.9,3.0,6 de abril
11,Revlon Professional Equave Acodicionador Desenredante Cabello Normal/Seco 200 ml,9.45,,4.73,4.6,3165.0,6 de abril
12,"Revlon Professional, Activador curly Orbital Locken, 150 ml",7.3,19.0,4.87,4.2,443.0,6 de abril
13,Revlon Professional ProYou Mousse para Cabello Agarre Fuerte 400 ml,8.49,,2.12,4.2,20.0,6 de abril
14,Revlon Professional UniqOne Té Verde Tratamiento en Spray para Cabello 150 ml,6.95,8.99,,4.4,54.0,6 de abril
15,Revlon Professional ProYou Champú Reparador,4.98,,1.42,4.0,81.0,6 de abril
16,"Revlon Uniq One Lotus - Tratamiento Capilar flor de loto, V2, 150 ml",5.8,6.5,3.87,4.5,5755.0,6 de abril
17,REVLON PROFESSIONAL Nutri Color Filters #821 Silver Beige 240 ml,15.0,,,4.3,26.0,6 de abril
18,Revlon Professional Equave Acondicionador Desenredante Cabello Rubio/Decolorado/Canoso 200 ml,6.55,,3.28,4.2,1777.0,6 de abril
19,REVLON PROFESSIONAL Equave Kids Green Apple Acondicionador hipoalergénico desenredante para niños 200 ml,5.31,9.42,2.66,4.5,988.0,
20,Revlon Uniq One Green Tea Hair Tratamiento 150Ml,6.95,,4.63,4.6,606.0,6 de abril
21,REVLON PROFESSIONAL Nutri Color Filters #1002 Pale Platinum 100 ml,9.44,10.0,,4.3,20.0,6 de abril
22,Revlon Professional Uniq One Hair Treatment Tea pulverizador Kur sin ausspülen,7.19,,4.79,4.7,1191.0,6 de abril
23,REVLON PROFESSIONAL 45 Days Conditioning Stunning For High Lights Champú - 275 ml (7222309000),,,,4.6,592.0,
24,"REVLON PROFESSIONAL, Accesorio de coloración - 1000 ml (8432225102092)",25.77,26.67,,4.7,8.0,6 de abril
25,Revlon Equave Champú 2 en 1 - 300 ml,5.52,16.1,1.84,4.4,749.0,6 de abril
26,Revlon Professional UniqOne Coco Champú Acondicionador 300 ml,8.49,11.29,2.83,4.4,566.0,
27,REVLON PROFESSIONAL 45 Days Conditioning For Intense Coppers Champú - 275 ml,8.8,,3.2,4.3,757.0,6 de abril
28,"REVLON PROFESSIONAL, Accesorio de coloración - 1000 ml (8432225098739)",26.0,29.25,2.6,4.4,13.0,6 de abril
29,Revlon Professional ProYou Acondicionador Hidratante Rizos 350 ml,9.74,13.1,2.78,,,6 de abril
30,"Revlon Professional Equave Acondicionador Desenredante Cabello Expuesto al Sol, 200 ml",,,,4.4,594.0,
31,REVLON PROFESSIONAL Be Fabulous Hair Recovery Paso 2 Tratamiento Capilar - 250 ml,13.68,,5.47,4.4,19.0,6 de abril
32,Revlon Magnet Color Lock Repairing Champú 1000 ml,12.0,21.02,1.2,4.9,12.0,6 de abril
33,"Revlon Professional 45 Days Conditioning For Golden Blondes Champú, 275 ml",9.64,,3.51,4.5,115.0,6 de abril
34,Revlon ProYou Repair Treatment - Tratamiento reparador (500 ml),9.99,,,5.0,1.0,6 de abril
35,Revlon Professional ProYou Textura de Peinado para Alisar el Cabello 350 ml,12.2,12.99,3.49,4.1,20.0,
36,Revlon Equave Kids Princess Champú 2 In 1 300 ml,9.0,,3.0,4.6,451.0,6 de abril
37,"Revlon Equave Beauty Hydro Acondicionador instant&aacute;neo nutritivo, juego de 2&nbsp;x 500 ml",29.4,,5.88,4.1,4.0,7 de abril
38,Revlon Be Fabulous Texture Care Acondicionador Definidor de Rizos para Cabello Rizado 750 ml,,,,4.1,13.0,
39,Revlon Professional ProYou Champú Reparador 1000 ml,12.58,,1.26,,,
40,Revlon - Equave volumizing detang ling conditioner juego 3 x 200 ml,31.1,,5.18,4.8,47.0,7 de abril
41,Revlon Professional ProYou Champú Cuidado del Color,16.2,,1.62,4.5,76.0,
42,"L'Oréal Professionnel Champú Absolut Repair, 500 Mililitros",7.68,8.6,1.54,4.4,4709.0,6 de abril
43,Revlon 45 Days 2en1 For Brave Reds Champú y Acondicionador - 275 ml,9.99,,3.63,4.1,257.0,
44,"REVLON, Champú - 300 ml.",5.95,,1.98,4.0,51.0,6 de abril
45,"Revlon Professional Equave Hydro Nutritive Champú desenredante, 250 ml",6.48,7.89,,4.4,427.0,
46,Revlon Professional ProYou Reparadora,,,,4.0,73.0,
47,2 acondicionadores Hydro Instant Detangling Revlon Professional Equave 2 fase 200 ml,20.5,,5.13,4.5,24.0,7 de abril
48,Revlon Professional ProYou Champú Suavizante 1000 ml,12.02,30.0,1.2,,,
49,"REVLON Professional Eksperience Temporary Anti Hair Loss (Tónico), Único, Estándar",46.55,,,,,6 de abril
50,Revlon 45 Days 2en1 For Radiant Darks Champú y Acondicionador - 278 ml,,,,4.4,43.0,
51,"Revlon, Cuidado del pelo y del cuero cabelludo - 7 ml.",25.99,,,4.3,4.0,6 de abril
52,Revlon Professional Equave Duo Pack Acondicionador Desenredante Cabello Volumen/Champú,15.2,,,4.6,38.0,6 de abril
53,"Revlon Professional Eksperience Wave Remedy - Champú anti frizz, 1000 ml",,,,4.8,23.0,
54,Wella Champú Fusion - 1000 ml,17.95,,1.8,4.6,3276.0,6 de abril
55,Revlon Profesional ProYou Tratamiento Anti-Caída,17.95,,24.93,4.2,146.0,6 de abril
56,Revlon Professional ProYou Champú,12.25,,1.23,4.3,218.0,
57,Revlon 45 Days 2en1 For Golden Blondes Champú y Acondicionador - 276 ml,9.67,,3.5,4.3,98.0,6 de abril
58,Revlon Professional ProYou Champú Volumen 350 ml,5.54,5.71,1.58,,,
59,"REVLON Professional Eksperience Persistent Anti Hair Loss (SOS Loción 12X7ML), Único, Estándar",59.16,,,,,
60,Champú Anti Hair Loss Caída Eksperience Intercosmo 250ml,20.0,,8.0,4.5,22.0,6 de abril
61,REVLON PROFESSIONAL NUTRI COLOR 931/BEIGE CLARO 100ML (7241324931),7.0,,7.0,4.0,124.0,
62,Revlon Professional ProYou Champú Hidratante Rizos 350 ml,5.95,12.1,1.7,,,6 de abril
63,Revlon Professional Nutri Color Filters #097 Turquoise 100 ml,10.0,,,5.0,1.0,6 de abril
64,REVLON PROFESSIONAL UNIQ ONE ALL IN ONE Set Tratamiento Classic 150 ml + Tratamiento Green Tea 150 ml,20.45,,,5.0,2.0,
65,Revlon Professional Intragen Anti Hair Loss Shampoo 1000 Ml - 1000 Mililitros,44.0,,4.4,4.4,14.0,6 de abril
66,Revlon Professional ProYou Champú Vigorizante Anti-Caída 350 ml,5.95,9.92,1.7,5.0,1.0,
67,"Revlon Professional - Tratamiento ProYou anticaída del cabello, 6 ml, 12 unidades",,,,3.7,13.0,
68,Revlon Professional ProYou Mascarilla Cuidado del Color 500 ml,9.66,,1.93,,,
69,Revlon Equave Hydro Nutritive Detangling Conditioner 500ml x2,36.99,,3.7,4.8,239.0,6 de abril
70,"REVLON PROFESSIONAL Total Color Care Tratamiento Capilar, 150 ml",7.67,,,,,8 de abril
71,Revlon Professional ProYou Color,8.99,,2.57,4.1,12.0,
72,3xEquave Keratin Enriched Hydro Detangling Conditioner 500 Ml,39.3,,2.62,4.4,24.0,
73,REVLON NUTRI COLOR 812/BEIGE PERLADO 270ML,29.69,,11.0,4.2,233.0,
