,15m,last,buy,sell,symbol,Currency
0,9546.87,9546.87,9546.87,9546.87,$,USD
1,14393.55,14393.55,14393.55,14393.55,$,AUD
2,41673.03,41673.03,41673.03,41673.03,R$,BRL
3,12656.99,12656.99,12656.99,12656.99,$,CAD
4,9381.41,9381.41,9381.41,9381.41,CHF,CHF
5,7663271.6,7663271.6,7663271.6,7663271.6,$,CLP
6,67057.19,67057.19,67057.19,67057.19,¥,CNY
7,66037.7,66037.7,66037.7,66037.7,kr,DKK
8,8861.49,8861.49,8861.49,8861.49,€,EUR
9,7417.64,7417.64,7417.64,7417.64,£,GBP
10,74293.35,74293.35,74293.35,74293.35,$,HKD
11,683865.78,683865.78,683865.78,683865.78,₹,INR
12,1221139.7,1221139.7,1221139.7,1221139.7,kr,ISK
13,1068920.36,1068920.36,1068920.36,1068920.36,¥,JPY
14,11505979.04,11505979.04,11505979.04,11505979.04,₩,KRW
15,15053.46,15053.46,15053.46,15053.46,$,NZD
16,37845.26,37845.26,37845.26,37845.26,zł,PLN
17,608875.28,608875.28,608875.28,608875.28,RUB,RUB
18,93625.86,93625.86,93625.86,93625.86,kr,SEK
19,13366.5,13366.5,13366.5,13366.5,$,SGD
20,300058.02,300058.02,300058.02,300058.02,฿,THB
21,289673.41,289673.41,289673.41,289673.41,NT$,TWD
