,15m,last,buy,sell,symbol,Currency
0,9574.6,9574.6,9574.6,9574.6,$,USD
1,14451.03,14451.03,14451.03,14451.03,$,AUD
2,41798.88,41798.88,41798.88,41798.88,R$,BRL
3,12695.92,12695.92,12695.92,12695.92,$,CAD
4,9414.49,9414.49,9414.49,9414.49,CHF,CHF
5,7661595.38,7661595.38,7661595.38,7661595.38,$,CLP
6,67244.33,67244.33,67244.33,67244.33,¥,CNY
7,66259.4,66259.4,66259.4,66259.4,kr,DKK
8,8885.97,8885.97,8885.97,8885.97,€,EUR
9,7433.86,7433.86,7433.86,7433.86,£,GBP
10,74510.98,74510.98,74510.98,74510.98,$,HKD
11,686149.39,686149.39,686149.39,686149.39,₹,INR
12,1225165.9,1225165.9,1225165.9,1225165.9,kr,ISK
13,1071414.86,1071414.86,1071414.86,1071414.86,¥,JPY
14,11542228.86,11542228.86,11542228.86,11542228.86,₩,KRW
15,15116.21,15116.21,15116.21,15116.21,$,NZD
16,37953.43,37953.43,37953.43,37953.43,zł,PLN
17,610668.02,610668.02,610668.02,610668.02,RUB,RUB
18,93938.52,93938.52,93938.52,93938.52,kr,SEK
19,13413.15,13413.15,13413.15,13413.15,$,SGD
20,301513.75,301513.75,301513.75,301513.75,฿,THB
21,290531.68,290531.68,290531.68,290531.68,NT$,TWD
