display_name,external_urls.spotify,followers.href,followers.total,href,id,images,type,uri
angelus_,https://open.spotify.com/user/angelus_,,14,https://api.spotify.com/v1/users/angelus_,angelus_,[],user,spotify:user:angelus_
Amanda Batista Sosa,https://open.spotify.com/user/amane88,,34,https://api.spotify.com/v1/users/amane88,amane88,"[{'height': None, 'url': 'https://scontent.xx.fbcdn.net/v/t1.0-1/c0.0.200.200a/p200x200/26992560_10156209226815962_6328029161240196902_n.jpg?_nc_cat=111&_nc_oc=AQlU5MGNrLmop4hCJrWfDjnSW711glm6IroDMwcw7mzfjWPNwiI_uOM74bNHqkb1cuY&_nc_ht=scontent.xx&oh=37ac59ab74158eec4cec9418dc56d1c2&oe=5DAF1752', 'width': None}]",user,spotify:user:amane88
Alejandro De La Barreda Heusser,https://open.spotify.com/user/aechos,,66,https://api.spotify.com/v1/users/aechos,aechos,"[{'height': None, 'url': 'https://scontent.xx.fbcdn.net/v/t1.0-1/p200x200/66469977_10157300108189929_7735650087698694144_n.jpg?_nc_cat=100&_nc_oc=AQkBbzGVW9Dw0Y9jkwfqYoyERYtjpixdLksbQomOxDKQtBjoW_daP2mW36_EAxENOUo&_nc_ht=scontent.xx&oh=83bc0ccb91425ebe5088a3c1fbfb3336&oe=5DAC72B3', 'width': None}]",user,spotify:user:aechos
Alejandro Quijada Fumero,https://open.spotify.com/user/alequijada,,16,https://api.spotify.com/v1/users/alequijada,alequijada,"[{'height': None, 'url': 'https://scontent.xx.fbcdn.net/v/t1.0-1/c0.0.200.200a/p200x200/1900098_823838561002187_7647624720660961981_n.jpg?_nc_cat=109&_nc_oc=AQlWPFXb1cCQj3F-9qBLkfwHFFXgWJ6yafyiICTV0PfijPXCb-cVRplXRw7bKHhpijI&_nc_ht=scontent.xx&oh=eb1b227bdd494ea45a0a3eef54b7db9f&oe=5DAC6935', 'width': None}]",user,spotify:user:alequijada
dannig012,https://open.spotify.com/user/dannig012,,24,https://api.spotify.com/v1/users/dannig012,dannig012,[],user,spotify:user:dannig012
Natalia Ramos Cabello,https://open.spotify.com/user/popersea,,26,https://api.spotify.com/v1/users/popersea,popersea,"[{'height': None, 'url': 'https://scontent.xx.fbcdn.net/v/t1.0-1/c33.33.414.414a/s200x200/60770_4361934805637_1250508664_n.jpg?_nc_cat=100&_nc_oc=AQmwWfnwIMatbuCN4KFqe5iBRNc2qdECPcuPg4BsMTCpqZ-oT-B6qUJsC4ovtbesKsU&_nc_ht=scontent.xx&oh=f846430557449da2996f05717458c082&oe=5DB293A5', 'width': None}]",user,spotify:user:popersea
Marc VB,https://open.spotify.com/user/marc.vallvebernal,,46,https://api.spotify.com/v1/users/marc.vallvebernal,marc.vallvebernal,"[{'height': None, 'url': 'https://scontent.xx.fbcdn.net/v/t1.0-1/p200x200/16174736_10154830539929526_8245813268941007863_n.jpg?_nc_cat=100&_nc_oc=AQmqHAOlx9IZn0gXLeWqw02-qYymmmKlyWcPy41lVMG9frGFUsNstHtS28glnpOd6l0&_nc_ht=scontent.xx&oh=880fff394d110b85ebd8d49634d397e4&oe=5DE4DFEB', 'width': None}]",user,spotify:user:marc.vallvebernal
nestorviolin,https://open.spotify.com/user/nestorviolin,,18,https://api.spotify.com/v1/users/nestorviolin,nestorviolin,"[{'height': None, 'url': 'https://profile-images.scdn.co/images/userprofile/default/53b78e20a944ab97a22a3c17916629bcc0f91a33', 'width': None}]",user,spotify:user:nestorviolin
Pola Inthesky WithDiamonds,https://open.spotify.com/user/pau_ik,,45,https://api.spotify.com/v1/users/pau_ik,pau_ik,"[{'height': None, 'url': 'https://scontent.xx.fbcdn.net/v/t1.0-1/p200x200/14199562_10154031110668191_6500216027385139996_n.jpg?_nc_cat=101&_nc_oc=AQlJy9nbDLrLd-Q9j3RivT3yMFVhVmsE0AYFtdtJ03olxw1WVRhRJRG3YSzR6KgaCHQ&_nc_ht=scontent.xx&oh=dea2c6fa04ac817133db9c00f31bb80c&oe=5DA064E8', 'width': None}]",user,spotify:user:pau_ik
Luis Adrián,https://open.spotify.com/user/jluisite,,43,https://api.spotify.com/v1/users/jluisite,jluisite,"[{'height': None, 'url': 'https://scontent.xx.fbcdn.net/v/t1.0-1/p200x200/23519027_10155912355687459_2128578751713773313_n.jpg?_nc_cat=106&_nc_oc=AQlGxwyzcumNhXXD7buI9fLllTtzFhTV9mTMuA-rWDKlB93d999NW_i_g4W-OgfdpH8&_nc_ht=scontent.xx&oh=251dadb407e2b4c6103636d90a904228&oe=5DAD5344', 'width': None}]",user,spotify:user:jluisite
elyp,https://open.spotify.com/user/elyp,,7,https://api.spotify.com/v1/users/elyp,elyp,"[{'height': None, 'url': 'https://profile-images.scdn.co/images/userprofile/default/4925ec919270f37ee615798df323bfb992cf379c', 'width': None}]",user,spotify:user:elyp
elsapato,https://open.spotify.com/user/elsapato,,23,https://api.spotify.com/v1/users/elsapato,elsapato,[],user,spotify:user:elsapato
Rebecca MacChín,https://open.spotify.com/user/chicareversible,,72,https://api.spotify.com/v1/users/chicareversible,chicareversible,"[{'height': None, 'url': 'https://scontent.xx.fbcdn.net/v/t1.0-1/p200x200/22195632_10214001966504829_3621439670586642644_n.jpg?_nc_cat=103&_nc_oc=AQn5ALUUZNP80WZP1mNMdSarpynRIrAUQhF6Qivx4IeVDZutnm-aHv3a4Z2vlVrngGI&_nc_ht=scontent.xx&oh=29c03f7dc9bd36de374266cae48ff3cd&oe=5DE4675F', 'width': None}]",user,spotify:user:chicareversible
Bruno Cossío,https://open.spotify.com/user/brunocossio,,51,https://api.spotify.com/v1/users/brunocossio,brunocossio,"[{'height': None, 'url': 'https://scontent.xx.fbcdn.net/v/t1.0-1/p200x200/41503594_10155700092331039_2274326732469174272_n.jpg?_nc_cat=101&_nc_oc=AQkjDNIRE69jvmOOjgdVFkX34KL6_AVEgKXMV1gIG1Gvyud0I60C995Dx7wJpDvniT8&_nc_ht=scontent.xx&oh=e4002dafafe2e0ae05f6c6b1534fa743&oe=5DB19871', 'width': None}]",user,spotify:user:brunocossio
Patricia Hernández Pérez,https://open.spotify.com/user/42416345k,,11,https://api.spotify.com/v1/users/42416345k,42416345k,"[{'height': None, 'url': 'https://scontent.xx.fbcdn.net/v/t1.0-1/p200x200/65600856_10157243070237567_2812554154055041024_n.jpg?_nc_cat=106&_nc_oc=AQkcTYUVONrg2lcDnX2bOr4pDmtfHNUqClDQZrcsEeYYhyAORokLIE1TISChjEgQRpM&_nc_ht=scontent.xx&oh=5eed57e85fd82f1e32f97763e820360b&oe=5DA81A22', 'width': None}]",user,spotify:user:42416345k
