collaborative,external_urls.spotify,href,id,images,name,owner.display_name,owner.external_urls.spotify,owner.href,owner.id,owner.type,owner.uri,primary_color,public,snapshot_id,tracks.href,tracks.total,type,uri
False,https://open.spotify.com/playlist/37i9dQZF1DWXe9gFZP0gtP,https://api.spotify.com/v1/playlists/37i9dQZF1DWXe9gFZP0gtP,37i9dQZF1DWXe9gFZP0gtP,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/348653678947a8b1990ef9ef1352e832a2f50366', 'width': None}]",Stress Relief,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,,True,MTU2MzgyMDg2MSwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,https://api.spotify.com/v1/playlists/37i9dQZF1DWXe9gFZP0gtP/tracks,131,playlist,spotify:playlist:37i9dQZF1DWXe9gFZP0gtP
False,https://open.spotify.com/playlist/5oiKq5lfsNvrdN7xAy6XsK,https://api.spotify.com/v1/playlists/5oiKq5lfsNvrdN7xAy6XsK,5oiKq5lfsNvrdN7xAy6XsK,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/08f6f9e78b56e4b3c01254665ae114e4b4941bb833080534f9716c159af3cc491162a3e8745e6d84634e4e6f8df34fcd0eb174d48f4753fa23e90789aa8a47bd09486f303cafe538fdf6e8561f2347f0', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/08f6f9e78b56e4b3c01254665ae114e4b4941bb833080534f9716c159af3cc491162a3e8745e6d84634e4e6f8df34fcd0eb174d48f4753fa23e90789aa8a47bd09486f303cafe538fdf6e8561f2347f0', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/08f6f9e78b56e4b3c01254665ae114e4b4941bb833080534f9716c159af3cc491162a3e8745e6d84634e4e6f8df34fcd0eb174d48f4753fa23e90789aa8a47bd09486f303cafe538fdf6e8561f2347f0', 'width': 60}]",Místico All time collection,angelus_,https://open.spotify.com/user/angelus_,https://api.spotify.com/v1/users/angelus_,angelus_,user,spotify:user:angelus_,,True,MTQxLGZhNTJkYmU2ZGYxZDk0MTVmYzZjNzJhNzk4YzU2ZmMyZDA4ZTI3ZWI=,https://api.spotify.com/v1/playlists/5oiKq5lfsNvrdN7xAy6XsK/tracks,150,playlist,spotify:playlist:5oiKq5lfsNvrdN7xAy6XsK
False,https://open.spotify.com/playlist/4UBx2ZfAjPbh0jNdvuVhss,https://api.spotify.com/v1/playlists/4UBx2ZfAjPbh0jNdvuVhss,4UBx2ZfAjPbh0jNdvuVhss,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/08f6f9e78b56e4b3c01254665ae114e4b4941bb86cafefede14a14613c687f25cf7e3d413f35533baa8a47bd09486f303cafe538fdf6e8561f2347f0f98554b81156dec2492599e8878439eff5849dc2', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/08f6f9e78b56e4b3c01254665ae114e4b4941bb86cafefede14a14613c687f25cf7e3d413f35533baa8a47bd09486f303cafe538fdf6e8561f2347f0f98554b81156dec2492599e8878439eff5849dc2', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/08f6f9e78b56e4b3c01254665ae114e4b4941bb86cafefede14a14613c687f25cf7e3d413f35533baa8a47bd09486f303cafe538fdf6e8561f2347f0f98554b81156dec2492599e8878439eff5849dc2', 'width': 60}]",Chunda chunda guay discotequero,angelus_,https://open.spotify.com/user/angelus_,https://api.spotify.com/v1/users/angelus_,angelus_,user,spotify:user:angelus_,,True,MTMzLGFiNTMzYWU3NGYyMzAxY2RkMjRiNWExMWEzZTFiYjk3NDRjODIwZTM=,https://api.spotify.com/v1/playlists/4UBx2ZfAjPbh0jNdvuVhss/tracks,135,playlist,spotify:playlist:4UBx2ZfAjPbh0jNdvuVhss
False,https://open.spotify.com/playlist/3tPFZzhjsRsJWavnevNwER,https://api.spotify.com/v1/playlists/3tPFZzhjsRsJWavnevNwER,3tPFZzhjsRsJWavnevNwER,"[{'height': 640, 'url': 'https://i.scdn.co/image/ad65824d6229118dda1429eb927afbec8192c878', 'width': 640}]",New Life,angelus_,https://open.spotify.com/user/angelus_,https://api.spotify.com/v1/users/angelus_,angelus_,user,spotify:user:angelus_,,True,MyxkMWNiZWZjZTYyYmM4Yzc1MTNlMmY5YjkwYjY0ZWNlN2FiZmQwNGRi,https://api.spotify.com/v1/playlists/3tPFZzhjsRsJWavnevNwER/tracks,2,playlist,spotify:playlist:3tPFZzhjsRsJWavnevNwER
False,https://open.spotify.com/playlist/6xa4DYxZ5IO09eyKt5be52,https://api.spotify.com/v1/playlists/6xa4DYxZ5IO09eyKt5be52,6xa4DYxZ5IO09eyKt5be52,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/531de971ded7b88667d1aa42b0bdd0643b537e4e6522e7fb4a27fc944cccb771c252c1f350612190d591cbc477c355f0cd732ed40484e7e3c056e046f9bcac3d00602e4a59a8b9f1a8ae0715b49d9d58', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/531de971ded7b88667d1aa42b0bdd0643b537e4e6522e7fb4a27fc944cccb771c252c1f350612190d591cbc477c355f0cd732ed40484e7e3c056e046f9bcac3d00602e4a59a8b9f1a8ae0715b49d9d58', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/531de971ded7b88667d1aa42b0bdd0643b537e4e6522e7fb4a27fc944cccb771c252c1f350612190d591cbc477c355f0cd732ed40484e7e3c056e046f9bcac3d00602e4a59a8b9f1a8ae0715b49d9d58', 'width': 60}]",MBM,angelus_,https://open.spotify.com/user/angelus_,https://api.spotify.com/v1/users/angelus_,angelus_,user,spotify:user:angelus_,,True,NDksZDhmMWRiZDgxNDRjYjRlYzBhMjE3NGU2ZTFiNDQ4YTRhNzJmZjE0NA==,https://api.spotify.com/v1/playlists/6xa4DYxZ5IO09eyKt5be52/tracks,186,playlist,spotify:playlist:6xa4DYxZ5IO09eyKt5be52
False,https://open.spotify.com/playlist/1ARKURl5HKzwUodnYDt2Ez,https://api.spotify.com/v1/playlists/1ARKURl5HKzwUodnYDt2Ez,1ARKURl5HKzwUodnYDt2Ez,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/59dcf1db5d9a6e87e77782a60db49c1d9522f98e5b3f5d070ab1886334c8508096fcb6275826c84aaed3ab29c6f48b988d7c3dc437913a3c15d394dfeb571ff19ad8cacbaead5d00665d021973de95f5', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/59dcf1db5d9a6e87e77782a60db49c1d9522f98e5b3f5d070ab1886334c8508096fcb6275826c84aaed3ab29c6f48b988d7c3dc437913a3c15d394dfeb571ff19ad8cacbaead5d00665d021973de95f5', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/59dcf1db5d9a6e87e77782a60db49c1d9522f98e5b3f5d070ab1886334c8508096fcb6275826c84aaed3ab29c6f48b988d7c3dc437913a3c15d394dfeb571ff19ad8cacbaead5d00665d021973de95f5', 'width': 60}]",Gym by Madonna,angelus_,https://open.spotify.com/user/angelus_,https://api.spotify.com/v1/users/angelus_,angelus_,user,spotify:user:angelus_,,True,MjQsNjQ5YTE2MDc0NGE1ZjM0MzUzY2U2MDU5MzdiYTNkNDI5NDBmYjJlYQ==,https://api.spotify.com/v1/playlists/1ARKURl5HKzwUodnYDt2Ez/tracks,21,playlist,spotify:playlist:1ARKURl5HKzwUodnYDt2Ez
False,https://open.spotify.com/playlist/46rsh79n7HIyyRmPpaXhAq,https://api.spotify.com/v1/playlists/46rsh79n7HIyyRmPpaXhAq,46rsh79n7HIyyRmPpaXhAq,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/3dce0535d672fcaca9fc362a51b8420a347a709b7db73f3061080d52b12cffa88b39ff6cdebaed7ea9bcaa1864524cde23503b18d92cfb9281966190dea7b0f66eb3b4fd02fa18a8f0e17356e266d5e4', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/3dce0535d672fcaca9fc362a51b8420a347a709b7db73f3061080d52b12cffa88b39ff6cdebaed7ea9bcaa1864524cde23503b18d92cfb9281966190dea7b0f66eb3b4fd02fa18a8f0e17356e266d5e4', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/3dce0535d672fcaca9fc362a51b8420a347a709b7db73f3061080d52b12cffa88b39ff6cdebaed7ea9bcaa1864524cde23503b18d92cfb9281966190dea7b0f66eb3b4fd02fa18a8f0e17356e266d5e4', 'width': 60}]",Melanie C,angelus_,https://open.spotify.com/user/angelus_,https://api.spotify.com/v1/users/angelus_,angelus_,user,spotify:user:angelus_,,True,MTgsNjRlY2ZlYWRkY2NiMTZmZjIzNGFmZGRkOWNiNDM0OGE3MGQ5MDM1YQ==,https://api.spotify.com/v1/playlists/46rsh79n7HIyyRmPpaXhAq/tracks,69,playlist,spotify:playlist:46rsh79n7HIyyRmPpaXhAq
False,https://open.spotify.com/playlist/2q6Ot8rHUgESmM6GJjIFvn,https://api.spotify.com/v1/playlists/2q6Ot8rHUgESmM6GJjIFvn,2q6Ot8rHUgESmM6GJjIFvn,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/33080534f9716c159af3cc491162a3e8745e6d849e1de80bb948d6bea1d4792e09b5e7ac639ecc50e1a3f605ce4dd6cd0dff3b776c1f40e788f71ae1f98554b81156dec2492599e8878439eff5849dc2', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/33080534f9716c159af3cc491162a3e8745e6d849e1de80bb948d6bea1d4792e09b5e7ac639ecc50e1a3f605ce4dd6cd0dff3b776c1f40e788f71ae1f98554b81156dec2492599e8878439eff5849dc2', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/33080534f9716c159af3cc491162a3e8745e6d849e1de80bb948d6bea1d4792e09b5e7ac639ecc50e1a3f605ce4dd6cd0dff3b776c1f40e788f71ae1f98554b81156dec2492599e8878439eff5849dc2', 'width': 60}]",Alien,angelus_,https://open.spotify.com/user/angelus_,https://api.spotify.com/v1/users/angelus_,angelus_,user,spotify:user:angelus_,,True,MTcsZDBhMmJjMDg4OGU4MTA2Mjk0ODcyY2U4ODQ4ZTk2Nzg1ODllZWU2OA==,https://api.spotify.com/v1/playlists/2q6Ot8rHUgESmM6GJjIFvn/tracks,39,playlist,spotify:playlist:2q6Ot8rHUgESmM6GJjIFvn
False,https://open.spotify.com/playlist/4gBOolaQINVajgIGQTLdr7,https://api.spotify.com/v1/playlists/4gBOolaQINVajgIGQTLdr7,4gBOolaQINVajgIGQTLdr7,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/4c6755ae215ba32d54382b9becb1cada1591bb24a5c5b9e6636031177a15ba03f37be6d4566c6f5fc111b91e7a298e9ce1631fcb4a498218050d8cffd49b2c994ec6a1087cbbaa2cc0d01474c940ef44', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/4c6755ae215ba32d54382b9becb1cada1591bb24a5c5b9e6636031177a15ba03f37be6d4566c6f5fc111b91e7a298e9ce1631fcb4a498218050d8cffd49b2c994ec6a1087cbbaa2cc0d01474c940ef44', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/4c6755ae215ba32d54382b9becb1cada1591bb24a5c5b9e6636031177a15ba03f37be6d4566c6f5fc111b91e7a298e9ce1631fcb4a498218050d8cffd49b2c994ec6a1087cbbaa2cc0d01474c940ef44', 'width': 60}]",ely!,angelus_,https://open.spotify.com/user/angelus_,https://api.spotify.com/v1/users/angelus_,angelus_,user,spotify:user:angelus_,,True,MTEsMTZkZGJjNDg4OWU0MDUxZGFhZmRhOGFkYWJkYWViYjM3NzUzZGUzYw==,https://api.spotify.com/v1/playlists/4gBOolaQINVajgIGQTLdr7/tracks,9,playlist,spotify:playlist:4gBOolaQINVajgIGQTLdr7
False,https://open.spotify.com/playlist/5Mxa4Pk7YeFvCmYJqVnXiM,https://api.spotify.com/v1/playlists/5Mxa4Pk7YeFvCmYJqVnXiM,5Mxa4Pk7YeFvCmYJqVnXiM,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/37575ee887c950359a9d4b3cb935840638a2abb65232b1dcb43188537b7f9f1e77cad1f9a38870d1b299ad5eb6ed3a397533adc9a3d7ab310d0e308edfc33b5bf07955cd5a21fd651bc13fc5cbef3133', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/37575ee887c950359a9d4b3cb935840638a2abb65232b1dcb43188537b7f9f1e77cad1f9a38870d1b299ad5eb6ed3a397533adc9a3d7ab310d0e308edfc33b5bf07955cd5a21fd651bc13fc5cbef3133', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/37575ee887c950359a9d4b3cb935840638a2abb65232b1dcb43188537b7f9f1e77cad1f9a38870d1b299ad5eb6ed3a397533adc9a3d7ab310d0e308edfc33b5bf07955cd5a21fd651bc13fc5cbef3133', 'width': 60}]",2017,angelus_,https://open.spotify.com/user/angelus_,https://api.spotify.com/v1/users/angelus_,angelus_,user,spotify:user:angelus_,,True,MzQsZTc2ZGJmN2YxNDRiZGZhNmU0NWE5OWY3ZDllN2I5ZjdiZmIyZTE1Nw==,https://api.spotify.com/v1/playlists/5Mxa4Pk7YeFvCmYJqVnXiM/tracks,18,playlist,spotify:playlist:5Mxa4Pk7YeFvCmYJqVnXiM
