year,week,date,track,artists,url
2011,1,1 de enero,Loca,"['Shakira', 'El Cata']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,2,8 de enero,Barbie de extrarradio,['Melendi'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,3,15 de enero,Love the Way You Lie,"['Eminem', 'Rihanna']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,4,22 de enero,The Time (Dirty Bit),['The Black Eyed Peas'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,5,29 de enero,The Time (Dirty Bit),['The Black Eyed Peas'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,6,5 de febrero,Hold My Hand,"['Michael Jackson', 'Akon']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,7,12 de febrero,Hold My Hand,"['Michael Jackson', 'Akon']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,8,19 de febrero,Who's That Chick?,"['David Guetta', 'Rihanna']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,9,26 de febrero,Tonight (I'm Lovin' You),"['Enrique Iglesias', 'Ludacris', 'DJ Frank E']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,10,5 de marzo,Tonight (I'm Lovin' You),"['Enrique Iglesias', 'Ludacris', 'DJ Frank E']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,11,12 de marzo,Tu mirada me hace grande,['Maldita Nerea'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,12,19 de marzo,Tonight (I'm Lovin' You),"['Enrique Iglesias', 'Ludacris', 'DJ Frank E']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,13,26 de marzo,Blanco y negro,['Malú'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,14,2 de abril,Blanco y negro,['Malú'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,15,9 de abril,Born This Way,['Lady Gaga'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,16,16 de abril,Born This Way,['Lady Gaga'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,17,23 de abril,On the Floor,"['Jennifer Lopez', 'Pitbull']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,18,30 de abril,On the Floor,"['Jennifer Lopez', 'Pitbull']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,19,7 de mayo,Lead The Way,"['Carlos Jean', 'Electric Nana']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,20,14 de mayo,Mr. Saxobeat,['Alexandra Stan'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,21,21 de mayo,S&M,['Rihanna'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,22,28 de mayo,S&M,['Rihanna'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,23,4 de junio,On the Floor,"['Jennifer Lopez', 'Pitbull']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,24,11 de junio,On the Floor,"['Jennifer Lopez', 'Pitbull']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,25,18 de junio,On the Floor,"['Jennifer Lopez', 'Pitbull']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,26,25 de junio,Give Me Everything,"['Pitbull', 'Ne-Yo', 'Afrojack', 'Nayer']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,27,2 de julio,Give Me Everything,"['Pitbull', 'Ne-Yo', 'Afrojack', 'Nayer']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,28,9 de julio,Give Me Everything,"['Pitbull', 'Ne-Yo', 'Afrojack', 'Nayer']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,29,16 de julio,Party Rock Anthem,"['LMFAO', 'Lauren Bennett', 'GoonRock']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,30,23 de julio,Give Me Everything,"['Pitbull', 'Ne-Yo', 'Afrojack', 'Nayer']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,31,30 de julio,Party Rock Anthem,"['LMFAO', 'Lauren Bennett', 'GoonRock']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,32,6 de agosto,Where Them Girls At,"['David Guetta', 'Flo Rida', 'Nicki Minaj']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,33,13 de agosto,Give Me Everything,"['Pitbull', 'Ne-Yo', 'Afrojack', 'Nayer']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,34,20 de agosto,Give Me Everything,"['Pitbull', 'Ne-Yo', 'Afrojack', 'Nayer']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,35,27 de agosto,Till the World Ends,['Britney Spears'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,36,3 de septiembre,Bailando por ahí,['Juan Magán'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,37,10 de septiembre,Gimme The Base (DJ),"['Carlos Jean', 'M-AND-Y']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,38,17 de septiembre,Danza kuduro,"['Don Omar', 'Lucenzo']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,39,24 de septiembre,Bailando por ahí,['Juan Magán'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
