title,director,imdb_rating,released_spain,actors,imdb_id,poster,video_link
"Crazy, Stupid, Love.","Glenn Ficarra, John Requa",7.4,2011-07-29,"Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone",tt1570728,https://m.media-amazon.com/images/M/MV5BMTg2MjkwMTM0NF5BMl5BanBnXkFtZTcwMzc4NDg2NQ@@._V1_SX300.jpg,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,8.4,1964-01-29,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn",tt0057012,https://m.media-amazon.com/images/M/MV5BZWI3ZTMxNjctMjdlNS00NmUwLWFiM2YtZDUyY2I3N2MxYTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
"Love, Actually",Richard Curtis,7.6,2003-11-14,"Bill Nighy, Gregor Fisher, Rory MacGregor, Colin Firth",tt0314331,https://m.media-amazon.com/images/M/MV5BMTY4NjQ5NDc0Nl5BMl5BanBnXkFtZTYwNjk5NDM3._V1_SX300.jpg,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Shakespeare in Love,John Madden,7.1,1999-01-08,"Geoffrey Rush, Tom Wilkinson, Steven O'Donnell, Tim McMullan",tt0138097,https://m.media-amazon.com/images/M/MV5BM2ZkNjM5MjEtNTBlMC00OTI5LTgyYmEtZDljMzNmNzhiNzY0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
P.S. I Love You,Richard LaGravenese,7.0,2007-12-21,"Hilary Swank, Gerard Butler, Lisa Kudrow, Gina Gershon",tt0431308,https://m.media-amazon.com/images/M/MV5BNTg2MDg4MjI5NV5BMl5BanBnXkFtZTcwMzQ0MDczMw@@._V1_SX300.jpg,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
"I Love You, Man",John Hamburg,7.0,2009-03-20,"Paul Rudd, Rashida Jones, Sarah Burns, Greg Levine",tt1155056,https://m.media-amazon.com/images/M/MV5BMTU4MjI5NTEyNV5BMl5BanBnXkFtZTcwNjQ1NTMzMg@@._V1_SX300.jpg,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Love,Gaspar Noé,6.1,2015-10-30,"Aomi Muyock, Karl Glusman, Klara Kristin, Ugo Fox",tt3774694,https://m.media-amazon.com/images/M/MV5BMTQzNDUwODk5NF5BMl5BanBnXkFtZTgwNzA0MDQ2NTE@._V1_SX300.jpg,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Punch-Drunk Love,Paul Thomas Anderson,7.3,2002-11-01,"Adam Sandler, Jason Andrews, Don McManus, Emily Watson",tt0272338,https://m.media-amazon.com/images/M/MV5BYmE1OTY4NjgtYjcwNC00NWE4LWJiNGMtZmVhYTdlMWE1YzIxXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
In the Mood for Love,Kar-Wai Wong,8.1,2001-03-09,"Maggie Cheung, Tony Chiu-Wai Leung, Ping Lam Siu, Tung Cho 'Joe' Cheung",tt0118694,https://m.media-amazon.com/images/M/MV5BYTJlMmIwYjAtYWJmYy00YzE2LWE1OTYtZjIyMzg0YWUwOTg4XkEyXkFqcGdeQXVyMTA1NTM1NDI2._V1_SX300.jpg,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
"Love, Rosie",Christian Ditter,7.2,2014-10-22,"Lily Collins, Sam Claflin, Christian Cooke, Jaime Winstone",tt1638002,https://m.media-amazon.com/images/M/MV5BMTk0Mzg1MTU1MF5BMl5BanBnXkFtZTgwMjU3ODI2MzE@._V1_SX300.jpg,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
