,date,open,close,volume,change,changePercent,vwap
0,2015-02-20,108.43,108.6,7610600.0,-0.17,-0.157,108.32333
1,2015-02-23,107.79,107.86,6724000.0,-0.07,-0.065,107.90333
2,2015-02-24,107.89,107.96,5708400.0,-0.07,-0.065,107.84667
3,2015-02-25,108.12,108.58,4806500.0,-0.46,-0.425,108.37333
4,2015-02-26,107.89,107.06,5903100.0,0.83,0.769,107.19333
5,2015-02-27,107.52,106.68,6396500.0,0.84,0.781,106.99333
6,2015-03-02,106.32,105.9,7343700.0,0.42,0.395,105.72333
7,2015-03-03,105.88,105.16,6901200.0,0.72,0.68,105.39667
8,2015-03-04,105.64,105.16,5784900.0,0.48,0.454,105.08
9,2015-03-05,105.01,104.73,5156900.0,0.28,0.267,104.79
10,2015-03-06,104.22,103.55,7213300.0,0.67,0.643,103.74667
11,2015-03-09,103.6,103.95,7506200.0,-0.35,-0.338,104.36
12,2015-03-10,103.79,102.91,10679000.0,0.88,0.848,103.26333
13,2015-03-11,103.52,103.54,8440700.0,-0.02,-0.019,103.29333
14,2015-03-12,104.22,102.42,5900600.0,1.8,1.727,103.07667
15,2015-03-13,101.84,101.62,8345200.0,0.22,0.216,101.37333
16,2015-03-16,101.44,103.13,6780200.0,-1.69,-1.666,102.46667
17,2015-03-17,102.3,103.17,7097500.0,-0.87,-0.85,102.94
18,2015-03-18,102.61,106.7,11059700.0,-4.09,-3.986,105.31667
19,2015-03-19,105.1,104.75,7841900.0,0.35,0.333,104.93333
20,2015-03-20,105.29,107.03,14064900.0,-1.74,-1.653,106.46667
21,2015-03-23,107.51,105.92,6807700.0,1.59,1.479,106.51
22,2015-03-24,105.92,104.2,6677800.0,1.72,1.624,104.85
23,2015-03-25,104.66,105.67,9169400.0,-1.01,-0.965,105.4
24,2015-03-26,106.28,105.25,7276900.0,1.03,0.969,105.31
25,2015-03-27,104.99,104.28,5830300.0,0.71,0.676,104.31333
26,2015-03-30,104.97,106.9,7172400.0,-1.93,-1.839,106.36
27,2015-03-31,105.62,104.98,7254100.0,0.64,0.606,105.31
28,2015-04-01,105.77,104.79,7347200.0,0.98,0.927,105.17
29,2015-04-02,104.45,105.28,5123900.0,-0.83,-0.795,105.01333
30,2015-04-06,106.03,106.92,6724000.0,-0.89,-0.839,106.66667
31,2015-04-07,106.97,108.54,8536000.0,-1.57,-1.468,108.08333
32,2015-04-08,108.86,106.66,7894800.0,2.2,2.021,107.36667
33,2015-04-09,106.8,106.95,5760500.0,-0.15,-0.14,106.79
34,2015-04-10,107.47,106.91,5012200.0,0.56,0.521,107.12667
35,2015-04-13,107.35,106.5,4307200.0,0.85,0.792,106.94667
36,2015-04-14,107.7,108.84,7262700.0,-1.14,-1.058,108.39667
37,2015-04-15,109.59,110.41,6704000.0,-0.82,-0.748,110.16
38,2015-04-16,109.9,110.16,5904200.0,-0.26,-0.237,110.03333
39,2015-04-17,109.36,109.11,6548700.0,0.25,0.229,109.02
40,2015-04-20,109.57,110.29,7148800.0,-0.72,-0.657,110.51667
41,2015-04-21,110.05,109.73,5674900.0,0.32,0.291,109.92667
42,2015-04-22,110.05,109.5,5643100.0,0.55,0.5,109.71667
43,2015-04-23,110.0,109.97,6940000.0,0.03,0.027,110.07333
44,2015-04-24,109.67,109.87,4995000.0,-0.2,-0.182,109.64667
45,2015-04-27,110.34,109.7,4858700.0,0.64,0.58,109.99333
46,2015-04-28,110.05,111.12,5321600.0,-1.07,-0.972,110.67
47,2015-04-29,110.82,111.73,5665800.0,-0.91,-0.821,111.46667
