,date,open,close,volume,change,changePercent,vwap
0,2015-02-20,94.16,94.19,8155000.0,-0.03,-0.032,94.08
1,2015-02-23,94.12,94.31,5682000.0,-0.19,-0.202,94.22333
2,2015-02-24,94.08,94.98,5643600.0,-0.9,-0.957,94.66667
3,2015-02-25,94.91,98.66,16751600.0,-3.75,-3.951,97.61
4,2015-02-26,97.43,99.51,16098800.0,-2.08,-2.135,98.79667
5,2015-02-27,99.17,98.9,7552500.0,0.27,0.272,98.89667
6,2015-03-02,98.9,100.0,12363300.0,-1.1,-1.112,99.8
7,2015-03-03,99.97,99.74,8149700.0,0.23,0.23,99.91
8,2015-03-04,99.81,100.25,9179400.0,-0.44,-0.441,99.97
9,2015-03-05,99.01,99.11,9438800.0,-0.1,-0.101,99.16333
10,2015-03-06,98.27,97.13,9677900.0,1.14,1.16,97.69333
11,2015-03-09,96.81,97.71,8460300.0,-0.9,-0.93,97.59
12,2015-03-10,96.91,96.29,7838900.0,0.62,0.64,96.50333
13,2015-03-11,96.3,94.96,9391100.0,1.34,1.391,95.55667
14,2015-03-12,95.42,96.25,8765100.0,-0.83,-0.87,95.99
15,2015-03-13,96.24,96.35,5152800.0,-0.11,-0.114,96.38333
16,2015-03-16,96.93,97.15,4772200.0,-0.22,-0.227,97.12
17,2015-03-17,96.9,96.17,4530700.0,0.73,0.753,96.43667
18,2015-03-18,96.01,97.0,5831000.0,-0.99,-1.031,96.52333
19,2015-03-19,96.86,95.98,3615400.0,0.88,0.909,96.32333
20,2015-03-20,96.32,97.05,10014000.0,-0.73,-0.758,96.96333
21,2015-03-23,96.8,98.62,9232000.0,-1.82,-1.88,98.18
22,2015-03-24,98.46,99.36,7549900.0,-0.9,-0.914,99.09
23,2015-03-25,99.03,98.14,6030500.0,0.89,0.899,98.62
24,2015-03-26,97.6,97.64,10445800.0,-0.04,-0.041,97.27
25,2015-03-27,97.36,96.96,4642400.0,0.4,0.411,97.19333
26,2015-03-30,97.43,97.88,4074500.0,-0.45,-0.462,97.85667
27,2015-03-31,97.82,97.44,5617000.0,0.38,0.388,97.77
28,2015-04-01,96.81,96.29,7484800.0,0.52,0.537,96.43667
29,2015-04-02,95.96,95.83,6614300.0,0.13,0.135,95.59333
30,2015-04-06,95.75,96.28,4501300.0,-0.53,-0.554,96.18333
31,2015-04-07,96.24,96.35,4443700.0,-0.11,-0.114,96.41333
32,2015-04-08,96.73,96.85,4445200.0,-0.12,-0.124,96.77667
33,2015-04-09,96.85,96.55,4790000.0,0.3,0.31,96.73
34,2015-04-10,96.9,97.8,5937800.0,-0.9,-0.929,97.43667
35,2015-04-13,97.41,97.44,5197900.0,-0.03,-0.031,97.42
36,2015-04-14,97.16,97.58,4961100.0,-0.42,-0.432,97.43
37,2015-04-15,97.0,96.44,6604400.0,0.56,0.577,96.75667
38,2015-04-16,96.37,95.63,5071700.0,0.74,0.768,96.19333
39,2015-04-17,95.13,94.88,6933600.0,0.25,0.263,94.89667
40,2015-04-20,95.0,96.18,4382400.0,-1.18,-1.242,95.81333
41,2015-04-21,96.19,94.87,5981700.0,1.32,1.372,95.32
42,2015-04-22,97.0,97.84,19254300.0,-0.84,-0.866,97.81
43,2015-04-23,97.44,97.0,6336500.0,0.44,0.452,97.02667
44,2015-04-24,96.99,98.74,7741300.0,-1.75,-1.804,98.22
45,2015-04-27,98.74,96.44,7282700.0,2.3,2.329,97.21333
46,2015-04-28,96.27,96.83,4357400.0,-0.56,-0.582,96.5
47,2015-04-29,96.58,97.02,5697200.0,-0.44,-0.456,96.92
48,2015-04-30,96.65,96.55,8300300.0,0.1,0.103,96.77667
49,2015-05-01,96.73,97.8,6280300.0,-1.07,-1.106,97.5
50,2015-05-04,96.57,96.13,8426300.0,0.44,0.456,96.93667
51,2015-05-05,96.39,96.13,7637000.0,0.26,0.27,96.05667
52,2015-05-06,96.1,96.39,6614500.0,-0.29,-0.302,96.31
53,2015-05-07,96.27,96.78,5018900.0,-0.51,-0.53,96.74333
54,2015-05-08,98.19,98.23,7543100.0,-0.04,-0.041,98.39
55,2015-05-11,98.07,97.51,4123700.0,0.56,0.571,97.68333
56,2015-05-12,97.39,97.95,4848100.0,-0.56,-0.575,97.74
57,2015-05-13,98.07,97.35,6526900.0,0.72,0.734,97.70667
58,2015-05-14,97.66,97.71,4744000.0,-0.05,-0.051,97.62
59,2015-05-15,97.74,98.04,7607200.0,-0.3,-0.307,98.20667
60,2015-05-18,97.97,98.02,4100800.0,-0.05,-0.051,97.96333
61,2015-05-19,98.09,100.68,10809200.0,-2.59,-2.64,99.80333
62,2015-05-20,100.88,100.11,6185100.0,0.77,0.763,100.17
63,2015-05-21,99.89,99.28,4729500.0,0.61,0.611,99.43333
64,2015-05-22,99.15,98.99,4559500.0,0.16,0.161,99.10333
65,2015-05-26,98.85,98.46,7123100.0,0.39,0.395,98.56667
66,2015-05-27,98.97,98.66,8129500.0,0.31,0.313,98.69333
67,2015-05-28,98.0,96.48,10204000.0,1.52,1.551,96.96333
68,2015-05-29,97.59,95.93,6439100.0,1.66,1.701,96.51333
69,2015-06-01,95.84,96.22,4919200.0,-0.38,-0.396,96.32333
