,Release Date,Period End,Revenue2,Forecast_Revenue
1,2020-01-29,12/2019,5350.0,5310.0
2,2019-10-22,09/2019,5430.0,5490.0
3,2019-07-26,06/2019,5340.0,5330.0
4,2019-04-30,03/2019,4960.0,4940.0
5,2019-01-30,12/2018,5160.0,5170.0
6,2018-10-23,09/2018,5370.0,5317.0
7,2018-07-26,06/2018,5350.0,5320.0
8,2018-04-30,03/2018,5140.0,4970.0
9,2018-01-30,12/2017,5340.0,5221.0
10,2017-10-24,09/2017,5750.0,5740.0
11,2017-07-25,06/2017,6050.0,5962.0
12,2017-04-25,03/2017,5680.0,5529.0
13,2017-01-23,12/2016,6030.0,5993.0
14,2016-10-21,09/2016,6420.0,6276.0
15,2016-07-26,06/2016,6270.0,6273.0
16,2016-04-22,03/2016,5900.0,5818.0
17,2016-01-25,12/2015,6340.0,6215.0
